,date,accuracy,potential
0,2024-11-11,1,4.689939999999751
0,2024-11-12,0,-1.0
0,2024-11-13,1,27.889889999999923
0,2024-11-14,0,-1.0
0,2024-11-15,1,9.890139999999974
0,2024-11-18,1,4.619869999999992
0,2024-11-19,1,7.66991999999982
0,2024-11-20,1,7.879879999999957
0,2024-11-21,1,23.42016999999987
0,2024-11-22,1,10.890139999999974
0,2024-11-25,0,-1.0
0,2024-11-26,1,15.610110000000077
0,2024-11-27,1,21.070070000000214
0,2024-11-29,1,21.11986999999999
0,2024-12-02,1,6.010009999999966
0,2024-12-03,1,9.800050000000283
0,2024-12-04,1,36.18993999999975
0,2024-12-05,1,7.090090000000146
0,2024-12-06,1,0.8300799999997253
0,2024-12-09,1,29.489990000000034
0,2024-12-10,1,3.3200699999997596
0,2024-12-11,1,10.0
0,2024-12-12,1,19.640139999999974
0,2024-12-13,1,17.430179999999837
0,2024-12-16,0,-1.0
0,2024-12-17,1,8.239990000000034
0,2024-12-18,1,44.58995999999979
0,2024-12-19,1,12.239990000000034
0,2024-12-20,1,19.03978999999981
0,2024-12-23,1,10.510009999999966
0,2024-12-24,1,8.669920000000275
0,2024-12-26,1,16.629879999999957
0,2024-12-27,1,53.160159999999905
0,2024-12-30,1,3.5
0,2024-12-31,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,10.880130000000008
0,2025-01-06,1,13.010009999999966
0,2025-01-07,1,4.91991999999982
0,2025-01-08,1,21.78003000000035
0,2025-01-10,1,11.489990000000034
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,27.090090000000146
0,2025-01-24,0,-1.0
0,2025-01-27,1,60.79003999999986
0,2025-01-28,1,23.449949999999717
0,2025-01-29,1,37.02001999999993
0,2025-01-30,1,11.809809999999743
0,2025-01-31,1,6.260009999999966
0,2025-02-03,1,32.09985000000006
0,2025-02-04,0,-1.0
0,2025-02-05,1,3.8200700000002143
0,2025-02-06,1,10.34985000000006
0,2025-02-07,1,11.100100000000111
0,2025-02-10,1,11.199949999999717
0,2025-02-11,1,24.51001000000042
0,2025-02-12,1,4.340090000000146
0,2025-02-13,1,27.959960000000137
0,2025-02-14,1,41.20020000000022
0,2025-02-18,1,20.760009999999966
0,2025-02-19,1,41.10010000000011
0,2025-02-20,1,26.639889999999923
0,2025-02-21,1,30.679929999999786
0,2025-02-24,1,19.65014999999994
0,2025-02-25,0,-1.0
0,2025-02-26,0,-1.0
0,2025-02-27,1,28.109860000000026
0,2025-02-28,1,12.479980000000069
0,2025-03-03,0,-1.0
0,2025-03-04,1,37.04004000000032
0,2025-03-05,1,56.63988999999992
0,2025-03-06,1,57.849849999999606
0,2025-03-07,1,51.81981999999971
0,2025-03-10,1,29.169920000000275
0,2025-03-11,1,1.1599099999998543
0,2025-03-12,1,10.450200000000223
0,2025-03-13,1,34.57006999999976
0,2025-03-14,1,31.270020000000386
0,2025-03-17,1,27.140139999999974
0,2025-03-18,0,-1.0
0,2025-03-19,1,23.22998000000007
0,2025-03-20,1,22.800050000000283
0,2025-03-21,1,53.60010000000011
0,2025-03-24,0,-1.0
0,2025-03-25,1,5.020020000000386
0,2025-03-26,1,14.609860000000026
0,2025-03-27,1,42.07006999999976
0,2025-03-28,0,-1.0
0,2025-03-31,1,25.97998000000007
0,2025-04-01,1,32.599849999999606
0,2025-04-02,1,112.31006000000025
0,2025-04-03,0,-1.0
0,2025-04-04,1,77.8099299999999
0,2025-04-07,1,105.34985000000006
0,2025-04-08,1,34.0
0,2025-04-09,0,-1.0
0,2025-04-10,0,-1.0
0,2025-04-11,1,47.169920000000275
0,2025-04-14,1,24.93993999999975
0,2025-04-15,1,1.9299299999997857
0,2025-04-16,1,16.72998000000007
