,date,accuracy,potential
0,2024-11-08,1,20.800050000000283
0,2024-11-11,1,1.0
0,2024-11-12,1,7.25
0,2024-11-13,1,15.25
0,2024-11-14,1,4.34985000000006
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,1,77.60009999999966
0,2024-11-25,1,13.90014999999994
0,2024-11-26,1,5.59985000000006
0,2024-11-27,1,23.5
0,2024-11-28,1,31.89989999999989
0,2024-11-29,1,12.600100000000111
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,10.40014999999994
0,2024-12-05,1,10.75
0,2024-12-06,1,17.19970000000012
0,2024-12-09,1,4.050299999999879
0,2024-12-10,1,4.949700000000121
0,2024-12-11,1,0.45020000000022264
0,2024-12-12,0,-1.0
0,2024-12-13,1,17.80029999999988
0,2024-12-16,1,38.20019999999977
0,2024-12-17,1,13.09985000000006
0,2024-12-18,1,56.25
0,2024-12-19,1,21.550050000000283
0,2024-12-20,1,29.300050000000283
0,2024-12-23,1,6.450200000000223
0,2024-12-24,1,2.3000499999998283
0,2024-12-26,0,-1.0
0,2024-12-27,1,0.6001000000001113
0,2024-12-30,0,-1.0
0,2024-12-31,1,14.84985000000006
0,2025-01-01,1,1.050050000000283
0,2025-01-02,1,6.399899999999889
0,2025-01-03,1,14.399900000000343
0,2025-01-06,1,28.5
0,2025-01-07,1,22.84985000000006
0,2025-01-08,1,24.14989999999989
0,2025-01-09,1,3.3498500000000604
0,2025-01-10,0,-1.0
0,2025-01-13,1,29.60010000000011
0,2025-01-14,1,12.949950000000172
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,14.700200000000223
0,2025-01-20,1,40.55004999999983
0,2025-01-21,1,3.25
0,2025-01-22,1,10.59985000000006
0,2025-01-23,1,25.94995000000017
0,2025-01-24,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,1,26.800050000000283
0,2025-01-29,1,4.899899999999889
0,2025-01-30,1,7.34985000000006
0,2025-01-31,1,5.899900000000343
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,9.5
0,2025-02-06,1,17.25
0,2025-02-07,1,37.44995000000017
0,2025-02-10,1,24.80004999999983
0,2025-02-11,0,-1.0
0,2025-02-12,1,7.65014999999994
0,2025-02-13,1,17.799799999999777
0,2025-02-14,1,33.59985000000006
0,2025-02-17,1,26.5
0,2025-02-18,1,21.0
0,2025-02-19,1,13.5
0,2025-02-20,1,29.80004999999983
0,2025-02-21,1,34.35010000000011
0,2025-02-24,1,14.90014999999994
0,2025-02-25,1,12.59985000000006
0,2025-02-27,1,46.89989999999989
0,2025-02-28,1,25.5
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,26.200200000000223
0,2025-03-06,1,6.699949999999717
0,2025-03-07,1,20.0
0,2025-03-10,1,5.950200000000223
0,2025-03-11,1,15.949950000000172
0,2025-03-12,1,1.6999500000001717
0,2025-03-13,1,36.35010000000011
0,2025-03-17,0,-1.0
0,2025-03-18,1,3.0
0,2025-03-19,1,28.0
0,2025-03-20,1,33.59985000000006
0,2025-03-21,0,-1.0
0,2025-03-24,1,25.5
0,2025-03-25,1,20.550050000000283
0,2025-03-26,1,23.15014999999994
0,2025-03-27,1,14.15014999999994
0,2025-03-28,1,33.0
0,2025-04-01,1,5.699950000000172
0,2025-04-02,1,19.30004999999983
0,2025-04-03,0,-1.0
0,2025-04-04,1,172.3998999999999
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,1,89.54979999999978
0,2025-04-15,1,6.0
0,2025-04-16,1,4.949950000000172
