,date,accuracy,potential
0,2024-11-11,1,1.1099799999999505
0,2024-11-12,0,-1.0
0,2024-11-13,0,-1.0
0,2024-11-14,1,4.989990000000034
0,2024-11-15,1,1.2399999999998954
0,2024-11-18,0,-1.0
0,2024-11-19,1,5.599969999999985
0,2024-11-20,1,1.030029999999897
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,4.979980000000069
0,2024-11-26,0,-1.0
0,2024-11-27,1,2.690059999999903
0,2024-11-29,1,6.580069999999978
0,2024-12-02,1,8.459960000000137
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-06,1,1.9499499999999443
0,2024-12-09,1,0.30993999999986954
0,2024-12-10,1,6.25
0,2024-12-11,1,1.719970000000103
0,2024-12-12,0,-1.0
0,2024-12-13,0,-1.0
0,2024-12-16,1,0.9399399999999787
0,2024-12-17,1,5.140019999999936
0,2024-12-18,1,2.6799899999999752
0,2024-12-19,1,3.4599600000000237
0,2024-12-20,1,9.789980000000014
0,2024-12-23,1,2.2199699999999893
0,2024-12-24,1,6.339969999999994
0,2024-12-26,1,5.109990000000039
0,2024-12-27,1,16.629999999999995
0,2024-12-30,1,5.75
0,2024-12-31,1,2.5399799999999004
0,2025-01-02,1,1.8499799999999595
0,2025-01-03,1,4.059999999999945
0,2025-01-06,1,9.350040000000035
0,2025-01-07,0,-1.0
0,2025-01-08,1,13.83996000000002
0,2025-01-10,1,1.0599999999999454
0,2025-01-13,1,6.20001000000002
0,2025-01-14,0,-1.0
0,2025-01-15,1,1.2300400000000309
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,9.82000000000005
0,2025-01-22,1,10.609980000000064
0,2025-01-23,1,5.45001000000002
0,2025-01-24,1,18.35999000000004
0,2025-01-27,1,4.689939999999979
0,2025-01-28,1,5.179989999999975
0,2025-01-29,1,5.760009999999966
0,2025-01-30,0,-1.0
0,2025-01-31,0,-1.0
0,2025-02-03,1,7.039980000000014
0,2025-02-04,1,4.190000000000055
0,2025-02-05,0,-1.0
0,2025-02-06,1,7.280030000000011
0,2025-02-07,1,5.210019999999986
0,2025-02-10,1,2.229979999999955
0,2025-02-11,1,9.739990000000034
0,2025-02-12,1,1.25
0,2025-02-13,1,11.959969999999998
0,2025-02-14,1,4.8900200000000495
0,2025-02-18,1,5.200019999999995
0,2025-02-19,1,8.260009999999966
0,2025-02-20,1,1.7399900000000343
0,2025-02-21,0,-1.0
0,2025-02-24,1,11.050050000000056
0,2025-02-25,1,0.5599399999998695
0,2025-02-26,1,3.4000200000000405
0,2025-02-27,1,8.719969999999876
0,2025-02-28,0,-1.0
0,2025-03-03,1,4.1300099999998565
0,2025-03-04,0,-1.0
0,2025-03-05,1,4.200070000000096
0,2025-03-06,1,2.7800300000001243
0,2025-03-07,1,12.64002000000005
0,2025-03-10,0,-1.0
0,2025-03-11,1,17.120059999999967
0,2025-03-12,1,3.7199699999999893
0,2025-03-13,1,4.589969999999994
0,2025-03-14,0,-1.0
0,2025-03-17,1,4.590029999999956
0,2025-03-18,1,3.9199800000000096
0,2025-03-19,1,8.53003000000001
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,9.829959999999915
0,2025-03-25,1,8.099970000000098
0,2025-03-26,0,-1.0
0,2025-03-27,1,12.429990000000089
0,2025-03-28,1,8.760009999999966
0,2025-03-31,1,5.320009999999911
0,2025-04-01,1,7.66998000000001
0,2025-04-02,0,-1.0
0,2025-04-03,1,20.63000999999997
0,2025-04-04,1,8.66998000000001
0,2025-04-07,1,16.75
0,2025-04-08,1,2.75
0,2025-04-09,1,14.349969999999985
0,2025-04-10,1,5.909979999999905
0,2025-04-11,0,-1.0
0,2025-04-14,1,2.860050000000001
0,2025-04-15,1,0.16998999999998432
0,2025-04-16,1,16.679989999999975
