,date,accuracy,potential
0,2024-10-30,0,-1
0,2024-10-31,1,5.739990000000034
0,2024-11-03,1,0.5600600000002487
0,2024-11-04,1,6.34985000000006
0,2024-11-05,1,20.25
0,2024-11-10,1,0.08007999999972526
0,2024-11-11,0,-1
0,2024-11-12,1,11.950200000000223
0,2024-11-13,1,18.55004999999983
0,2024-11-14,1,3.6899399999997513
0,2024-11-17,0,-1
0,2024-11-18,1,4.630130000000008
0,2024-11-19,1,0.7997999999997774
0,2024-11-20,1,1.08008000000018
0,2024-11-21,0,-1
0,2024-11-24,1,8.709960000000137
0,2024-11-25,0,-1
0,2024-11-26,1,1.390139999999974
0,2024-11-27,0,-1
0,2024-11-28,1,3.5200199999999313
0,2024-12-01,0,-1
0,2024-12-02,1,4.300050000000283
0,2024-12-03,1,6.560060000000249
0,2024-12-04,0,-1
0,2024-12-05,1,3.189940000000206
0,2024-12-08,0,-1
0,2024-12-09,1,7.709959999999683
0,2024-12-10,1,7.140139999999974
0,2024-12-11,1,0.8698699999999917
0,2024-12-12,0,-1
0,2024-12-15,1,3.0300300000003517
0,2024-12-16,1,1.300050000000283
0,2024-12-17,0,-1
0,2024-12-22,0,-1
0,2024-12-23,1,0.7600099999999657
0,2024-12-24,1,4.260009999999966
0,2024-12-25,1,8.729980000000069
0,2024-12-26,1,18.320070000000214
0,2024-12-29,0,-1
0,2024-12-30,1,0.3998999999998887
0,2024-12-31,0,-1
0,2025-01-05,1,2.189940000000206
0,2025-01-06,1,5.569819999999709
0,2025-01-07,1,9.949950000000172
0,2025-01-08,1,2.9499500000001717
0,2025-01-09,1,17.93993999999975
0,2025-01-12,1,4.140139999999974
0,2025-01-13,1,44.840090000000146
0,2025-01-14,1,13.140139999999974
0,2025-01-15,1,4.270019999999931
0,2025-01-16,1,5.659909999999854
0,2025-01-19,0,-1
0,2025-01-20,1,3.800050000000283
0,2025-01-21,1,2.2600099999999657
0,2025-01-22,1,1.5100099999999657
0,2025-01-23,0,-1
0,2025-01-26,1,10.939939999999751
0,2025-01-27,0,-1
0,2025-01-28,1,12.709960000000137
0,2025-01-29,1,12.670169999999871
0,2025-01-30,0,-1
0,2025-02-02,1,40.89990000000034
0,2025-02-03,0,-1
0,2025-02-04,1,13.020019999999931
0,2025-02-05,1,14.729980000000069
0,2025-02-06,1,12.540040000000317
0,2025-02-10,1,15.060060000000249
0,2025-02-12,1,7.51001000000042
0,2025-02-13,1,11.850100000000111
0,2025-02-16,1,7.300050000000283
0,2025-02-17,1,0.6498999999998887
0,2025-02-18,1,3.719970000000103
0,2025-02-19,0,-1
0,2025-02-20,1,5.91991999999982
0,2025-02-23,1,3.6899399999997513
0,2025-02-24,0,-1
0,2025-02-25,1,14.709959999999683
0,2025-02-26,1,2.800050000000283
0,2025-02-27,0,-1
0,2025-03-03,1,15.199949999999717
0,2025-03-04,1,15.590090000000146
0,2025-03-05,0,-1
0,2025-03-06,1,2.4899900000000343
0,2025-03-09,1,10.479980000000069
0,2025-03-10,0,-1
0,2025-03-11,1,2.7099599999996826
0,2025-03-12,0,-1
0,2025-03-13,1,0.66991999999982
0,2025-03-16,1,0.8000499999998283
0,2025-03-17,1,2.8698699999999917
0,2025-03-18,1,7.270019999999931
0,2025-03-19,0,-1
0,2025-03-20,1,7.270019999999931
0,2025-03-23,0,-1
0,2025-03-24,1,16.08008000000018
0,2025-03-25,1,8.75
0,2025-03-26,1,6.08008000000018
0,2025-03-27,0,-1
0,2025-04-06,1,72.7199700000001
0,2025-04-07,1,49.80005000000028
0,2025-04-08,1,30.30004999999983
0,2025-04-09,1,98.51000999999997
0,2025-04-10,1,12.080079999999725
0,2025-04-13,0,-1
0,2025-04-14,1,0.6501500000003944
0,2025-04-15,1,13.109860000000026
0,2025-04-16,0,-1
