,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,3.9700300000000652
0,2024-11-13,1,0.9599600000000237
0,2024-11-14,0,-1
0,2024-11-15,1,0.5700099999999111
0,2024-11-18,1,4.520019999999931
0,2024-11-19,1,6.850040000000035
0,2024-11-20,1,3.389949999999999
0,2024-11-21,0,-1
0,2024-11-22,0,-1
0,2024-11-25,1,2.0399799999999004
0,2024-11-26,1,1.610050000000001
0,2024-11-27,0,-1
0,2024-11-29,1,0.8100000000000591
0,2024-12-02,1,2.1000400000000354
0,2024-12-03,0,-1
0,2024-12-04,1,1.5600600000000213
0,2024-12-05,0,-1
0,2024-12-06,1,0.6500300000000152
0,2024-12-09,0,-1
0,2024-12-10,1,4.7000099999999065
0,2024-12-11,1,1.979979999999955
0,2024-12-12,1,3.3400199999999813
0,2024-12-13,1,0.12000000000000455
0,2024-12-16,0,-1
0,2024-12-17,1,1.4699699999999893
0,2024-12-18,1,4.42999999999995
0,2024-12-19,1,5.179989999999975
0,2024-12-20,1,3.1599699999999302
0,2024-12-23,0,-1
0,2024-12-24,1,2.5700100000000248
0,2024-12-26,1,7.780020000000036
0,2024-12-27,1,11.569949999999949
0,2024-12-30,1,0.8599799999999505
0,2024-12-31,1,0.37000000000000455
0,2025-01-02,1,5.4700299999999515
0,2025-01-03,0,-1
0,2025-01-06,1,3.5999799999999595
0,2025-01-07,0,-1
0,2025-01-08,1,13.139949999999999
0,2025-01-10,1,6.86999000000003
0,2025-01-13,0,-1
0,2025-01-14,0,-1
0,2025-01-15,1,0.48999000000003434
0,2025-01-16,0,-1
0,2025-01-17,0,-1
0,2025-01-21,0,-1
0,2025-01-22,1,0.9899899999999207
0,2025-01-23,0,-1
0,2025-01-24,0,-1
0,2025-01-27,1,2.32000000000005
0,2025-01-28,1,1.2700199999999313
0,2025-01-29,1,6.429989999999975
0,2025-01-30,1,4.539980000000014
0,2025-01-31,0,-1
0,2025-02-03,0,-1
0,2025-02-04,1,0.8699900000000298
0,2025-02-05,0,-1
0,2025-02-06,1,6.150030000000015
0,2025-02-07,0,-1
0,2025-02-10,1,2.0
0,2025-02-11,0,-1
0,2025-02-12,0,-1
0,2025-02-13,1,1.9799800000000687
0,2025-02-14,1,2.689999999999941
0,2025-02-18,0,-1
0,2025-02-19,1,6.340029999999956
0,2025-02-20,1,5.4000200000000405
0,2025-02-21,1,2.389949999999999
0,2025-02-24,1,6.5799599999999145
0,2025-02-25,0,-1
0,2025-02-26,1,6.030030000000011
0,2025-02-27,1,2.069940000000088
0,2025-02-28,0,-1
0,2025-03-03,0,-1
0,2025-03-04,1,7.469969999999989
0,2025-03-05,1,8.5
0,2025-03-06,1,6.1500200000000405
0,2025-03-07,1,14.88000999999997
0,2025-03-10,1,0.4500100000000202
0,2025-03-11,1,1.0800100000000157
0,2025-03-12,1,5.489990000000034
0,2025-03-13,0,-1
0,2025-03-14,1,5.95001000000002
0,2025-03-17,0,-1
0,2025-03-18,1,0.24004999999999654
0,2025-03-19,1,1.8799999999999955
0,2025-03-20,1,7.670039999999972
0,2025-03-21,0,-1
0,2025-03-24,1,3.5200199999999313
0,2025-03-25,1,3.4899900000000343
0,2025-03-26,1,5.309999999999945
0,2025-03-27,1,11.60003000000006
0,2025-03-28,1,15.039980000000014
0,2025-03-31,1,3.9199800000000096
0,2025-04-01,1,1.0900199999999813
0,2025-04-02,1,27.129999999999995
0,2025-04-03,0,-1
0,2025-04-04,1,35.739990000000034
0,2025-04-07,0,-1
0,2025-04-08,1,2.389949999999999
0,2025-04-09,1,4.6200000000000045
0,2025-04-10,1,3.9199800000000096
0,2025-04-11,1,14.36999000000003
0,2025-04-14,0,-1
0,2025-04-15,0,-1
0,2025-04-16,1,3.609989999999925
