,date,accuracy,potential
0,2024-11-11,1,46.32006999999999
0,2024-11-12,1,48.89002000000005
0,2024-11-13,0,-1.0
0,2024-11-14,1,27.569949999999835
0,2024-11-15,0,-1.0
0,2024-11-18,1,18.310050000000047
0,2024-11-19,1,31.59997999999996
0,2024-11-20,1,20.25
0,2024-11-21,1,54.84008999999992
0,2024-11-22,1,28.34997999999996
0,2024-11-25,1,7.1400200000000495
0,2024-11-26,1,9.34997999999996
0,2024-11-27,0,-1.0
0,2024-11-29,0,-1.0
0,2024-12-02,0,-1.0
0,2024-12-03,1,8.129999999999882
0,2024-12-04,1,49.18993999999998
0,2024-12-05,0,-1.0
0,2024-12-06,1,50.37999999999988
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,1,13.41003999999998
0,2024-12-12,1,38.36999000000014
0,2024-12-13,1,0.2700199999999313
0,2024-12-16,0,-1.0
0,2024-12-17,0,-1.0
0,2024-12-18,1,14.280029999999897
0,2024-12-19,1,54.150030000000015
0,2024-12-20,1,14.800040000000081
0,2024-12-23,0,-1.0
0,2024-12-24,1,31.16003999999998
0,2024-12-26,0,-1.0
0,2024-12-27,1,50.82996000000003
0,2024-12-30,1,25.430049999999937
0,2024-12-31,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,47.210079999999834
0,2025-01-06,1,60.050050000000056
0,2025-01-07,1,11.989999999999782
0,2025-01-08,1,32.650030000000015
0,2025-01-10,1,40.27990999999997
0,2025-01-13,0,-1.0
0,2025-01-14,1,70.64002000000005
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,4.200070000000096
0,2025-01-21,1,7.479980000000069
0,2025-01-22,1,13.810060000000021
0,2025-01-23,1,0.32996000000002823
0,2025-01-24,1,1.1300000000001091
0,2025-01-27,1,39.5599400000001
0,2025-01-28,1,0.5600500000000466
0,2025-01-29,1,70.13001000000008
0,2025-01-30,1,57.010009999999966
0,2025-01-31,1,97.71008000000006
0,2025-02-03,1,1.4399399999999787
0,2025-02-04,0,-1.0
0,2025-02-05,0,-1.0
0,2025-02-06,1,17.04993000000013
0,2025-02-07,1,1.4200499999999465
0,2025-02-10,0,-1.0
0,2025-02-11,1,38.14002000000005
0,2025-02-12,1,68.92003999999997
0,2025-02-13,1,16.939949999999953
0,2025-02-14,1,7.989990000000034
0,2025-02-18,0,-1.0
0,2025-02-19,0,-1.0
0,2025-02-20,1,30.489990000000034
0,2025-02-21,1,11.78002000000015
0,2025-02-24,1,92.0300299999999
0,2025-02-25,1,19.459960000000024
0,2025-02-26,1,20.39002000000005
0,2025-02-27,1,22.710019999999986
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,1,21.28003000000001
0,2025-03-05,0,-1.0
0,2025-03-06,1,18.239990000000034
0,2025-03-07,1,74.60999000000004
0,2025-03-10,1,41.050050000000056
0,2025-03-11,0,-1.0
0,2025-03-12,1,36.51996000000008
0,2025-03-13,0,-1.0
0,2025-03-14,1,43.84997999999996
0,2025-03-17,1,46.20001000000002
0,2025-03-18,0,-1.0
0,2025-03-19,1,3.7900300000000016
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,10.989990000000034
0,2025-03-25,0,-1.0
0,2025-03-26,1,1.479979999999955
0,2025-03-27,1,37.159970000000044
0,2025-03-28,1,62.27001999999993
0,2025-03-31,1,42.670040000000085
0,2025-04-01,1,52.83996000000002
0,2025-04-02,0,-1.0
0,2025-04-03,1,100.88000999999997
0,2025-04-04,1,34.49005
0,2025-04-07,0,-1.0
0,2025-04-08,1,38.610040000000026
0,2025-04-09,0,-1.0
0,2025-04-10,1,15.45001000000002
0,2025-04-11,0,-1.0
0,2025-04-14,1,17.989990000000034
0,2025-04-15,1,21.099969999999985
0,2025-04-16,1,7.809999999999945
