,date,accuracy,potential
0,2024-11-08,1,439.6484300000011
0,2024-11-11,1,118.50780999999552
0,2024-11-12,1,11.789059999995516
0,2024-11-13,1,114.79687000000558
0,2024-11-14,1,550.2656200000056
0,2024-11-18,1,947.234380000009
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,188.0625
0,2024-11-26,1,88.3203199999989
0,2024-11-27,1,635.1562400000112
0,2024-11-28,0,-1.0
0,2024-11-29,1,484.1328099999955
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,255.48437000000558
0,2024-12-05,1,251.67968999998993
0,2024-12-06,1,293.375
0,2024-12-09,1,83.33593999998993
0,2024-12-10,1,119.22656000001007
0,2024-12-11,1,69.9609300000011
0,2024-12-12,1,1171.84375
0,2024-12-13,1,376.2890699999989
0,2024-12-16,1,914.859369999991
0,2024-12-17,1,376.875
0,2024-12-18,1,1025.132819999999
0,2024-12-19,1,520.5156299999944
0,2024-12-20,0,-1.0
0,2024-12-23,1,130.8125
0,2024-12-24,1,59.72656000001007
0,2024-12-26,0,-1.0
0,2024-12-27,1,296.6640599999955
0,2024-12-30,1,683.90625
0,2024-12-31,1,222.10155999999552
0,2025-01-01,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,440.7656299999944
0,2025-01-06,1,38.382809999995516
0,2025-01-07,1,555.0234400000045
0,2025-01-08,1,438.1640599999955
0,2025-01-09,1,507.0078199999989
0,2025-01-10,1,800.7265599999955
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,1,513.3281299999944
0,2025-01-17,1,13.601559999995516
0,2025-01-20,1,821.0781299999944
0,2025-01-21,0,-1.0
0,2025-01-22,1,181.39844000000448
0,2025-01-23,1,282.55468999998993
0,2025-01-24,1,829.5859400000045
0,2025-01-27,0,-1.0
0,2025-01-28,0,-1.0
0,2025-01-29,1,101.01563000000897
0,2025-01-30,0,-1.0
0,2025-01-31,0,-1.0
0,2025-02-01,1,728.0546900000045
0,2025-02-03,0,-1.0
0,2025-02-04,1,161.89061999999103
0,2025-02-05,1,204.49219000000448
0,2025-02-06,1,315.1875
0,2025-02-07,1,658.3984400000045
0,2025-02-10,1,392.90625999998883
0,2025-02-11,0,-1.0
0,2025-02-12,1,133.46094000000448
0,2025-02-13,1,334.65625
0,2025-02-14,1,614.4687400000112
0,2025-02-17,1,413.1953099999955
0,2025-02-18,1,348.96874000001117
0,2025-02-19,1,453.9921900000045
0,2025-02-20,1,520.2109400000045
0,2025-02-21,1,804.3046900000045
0,2025-02-24,0,-1.0
0,2025-02-25,1,36.48438000000897
0,2025-02-27,1,1014.6875
0,2025-02-28,1,386.40625
0,2025-03-03,1,417.5390699999989
0,2025-03-04,0,-1.0
0,2025-03-05,1,304.35156000001007
0,2025-03-06,1,277.4218700000056
0,2025-03-07,1,146.6171800000011
0,2025-03-10,0,-1.0
0,2025-03-11,1,229.89061999999103
0,2025-03-12,0,-1.0
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,77.10155999999552
0,2025-03-19,0,-1.0
0,2025-03-20,1,190.02344000000448
0,2025-03-21,0,-1.0
0,2025-03-24,1,746.9140699999989
0,2025-03-25,1,209.27344000000448
0,2025-03-26,1,122.71875
0,2025-03-27,1,274.7656299999944
0,2025-03-28,1,985.0078199999989
0,2025-04-01,0,-1.0
0,2025-04-02,1,533.75
0,2025-04-03,1,847.0703099999955
0,2025-04-04,1,3236.1406200000056
0,2025-04-07,0,-1.0
0,2025-04-08,1,476.9296800000011
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,163.4921800000011
0,2025-04-16,1,360.1875
