,date,accuracy,potential
0,2024-11-14,1,36.3798799999995
0,2024-11-15,1,23.759769999999662
0,2024-11-18,1,36.19043000000056
0,2024-11-19,1,1.8896499999991647
0,2024-11-20,1,19.100100000000566
0,2024-11-21,0,-1.0
0,2024-11-22,1,36.40038999999888
0,2024-11-25,1,45.08983999999873
0,2024-11-26,1,7.669919999998456
0,2024-11-27,0,-1.0
0,2024-11-28,1,12.55956999999944
0,2024-11-29,1,12.08983999999873
0,2024-12-02,0,-1.0
0,2024-12-03,1,42.64940999999999
0,2024-12-04,1,11.439449999999852
0,2024-12-05,1,18.099609999999302
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,0,-1.0
0,2024-12-12,1,21.21972999999889
0,2024-12-13,1,22.68065999999999
0,2024-12-16,0,-1.0
0,2024-12-17,1,32.05956999999944
0,2024-12-18,1,98.2797899999996
0,2024-12-19,1,53.659670000000006
0,2024-12-20,1,40.04004000000077
0,2024-12-23,0,-1.0
0,2024-12-24,1,6.540039999999863
0,2024-12-27,1,28.439939999999297
0,2024-12-30,1,22.85985999999957
0,2024-12-31,1,32.73047000000042
0,2025-01-02,1,7.3701099999998405
0,2025-01-03,1,30.230470000000423
0,2025-01-06,1,52.4399399999993
0,2025-01-07,1,20.71972999999889
0,2025-01-08,1,1.4404299999987416
0,2025-01-09,1,18.479489999999714
0,2025-01-10,1,43.889650000000984
0,2025-01-13,1,12.009769999998753
0,2025-01-14,1,64.87988000000041
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,27.27930000000015
0,2025-01-20,1,20.53027000000111
0,2025-01-21,0,-1.0
0,2025-01-22,1,8.110349999999016
0,2025-01-23,1,35.25
0,2025-01-24,1,35.12011999999959
0,2025-01-27,1,49.28026999999929
0,2025-01-28,1,20.049809999998615
0,2025-01-29,1,5.9404299999987416
0,2025-01-30,0,-1.0
0,2025-01-31,1,131.88965000000098
0,2025-02-03,1,49.51954000000114
0,2025-02-04,1,22.450189999999566
0,2025-02-05,1,109.04980999999862
0,2025-02-06,1,26.900390000000698
0,2025-02-07,1,47.8496099999993
0,2025-02-10,1,14.429689999999027
0,2025-02-11,1,6.449219999998604
0,2025-02-12,1,78.0898500000003
0,2025-02-13,1,27.570310000000973
0,2025-02-14,1,29.829099999999016
0,2025-02-17,1,16.449220000000423
0,2025-02-18,1,0.6894499999998516
0,2025-02-19,1,25.58983999999873
0,2025-02-20,1,9.919920000000275
0,2025-02-21,1,5.5595699999994395
0,2025-02-24,1,27.0
0,2025-02-25,0,-1.0
0,2025-02-26,1,17.519529999999577
0,2025-02-27,1,34.070309999999154
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,1,82.05956999999944
0,2025-03-05,0,-1.0
0,2025-03-06,1,60.64940999999999
0,2025-03-07,1,53.79003999999986
0,2025-03-10,1,23.939460000001418
0,2025-03-11,1,61.12988000000041
0,2025-03-12,1,15.549800000000687
0,2025-03-13,0,-1.0
0,2025-03-14,1,18.59082000000126
0,2025-03-17,1,44.859370000000126
0,2025-03-18,1,39.68065999999999
0,2025-03-19,1,25.700200000001132
0,2025-03-20,1,52.51074000000153
0,2025-03-21,1,13.299810000000434
0,2025-03-24,0,-1.0
0,2025-03-25,1,18.53026999999929
0,2025-03-26,1,67.67969000000085
0,2025-03-27,1,18.28027000000111
0,2025-03-28,1,96.97949000000153
0,2025-03-31,0,-1.0
0,2025-04-01,1,57.79003999999986
0,2025-04-02,1,115.1201200000014
0,2025-04-03,1,130.16015999999945
0,2025-04-04,1,514.6801799999994
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-10,1,58.91993000000002
0,2025-04-11,1,171.04003999999986
0,2025-04-14,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
