,date,accuracy,potential
0,2024-11-08,1,112.09960999999748
0,2024-11-11,1,25.75
0,2024-11-12,1,197.15039000000252
0,2024-11-13,1,103.55077999999776
0,2024-11-14,1,59.30077999999776
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,1,246.69922000000224
0,2024-11-22,0,-1.0
0,2024-11-25,1,75.25
0,2024-11-26,1,46.5
0,2024-11-27,1,104.0
0,2024-11-28,1,6.449220000002242
0,2024-11-29,1,88.59960999999748
0,2024-12-02,1,151.40039000000252
0,2024-12-03,0,-1.0
0,2024-12-04,1,83.40038999999888
0,2024-12-05,1,58.59960999999748
0,2024-12-06,1,94.25
0,2024-12-09,1,55.40039000000252
0,2024-12-10,1,56.0
0,2024-12-11,1,20.550780000001396
0,2024-12-12,0,-1.0
0,2024-12-13,1,12.650390000002517
0,2024-12-16,1,229.59961000000112
0,2024-12-17,1,113.6992199999986
0,2024-12-18,1,362.75
0,2024-12-19,1,99.95117000000027
0,2024-12-20,0,-1.0
0,2024-12-23,1,57.298829999999725
0,2024-12-24,1,3.7988299999997253
0,2024-12-26,1,155.0
0,2024-12-27,1,111.84960999999748
0,2024-12-30,1,206.9492199999986
0,2024-12-31,1,14.75
0,2025-01-01,1,120.3007800000014
0,2025-01-02,1,41.201170000000275
0,2025-01-03,1,191.95117000000027
0,2025-01-06,1,183.0507800000014
0,2025-01-07,1,11.849609999997483
0,2025-01-08,1,113.40039000000252
0,2025-01-09,1,271.44922000000224
0,2025-01-10,1,296.75
0,2025-01-13,0,-1.0
0,2025-01-14,1,105.5
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,56.451170000000275
0,2025-01-20,1,235.45117000000027
0,2025-01-21,1,60.84960999999748
0,2025-01-22,1,61.05077999999776
0,2025-01-23,1,79.79882999999973
0,2025-01-24,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,1,157.45117000000027
0,2025-01-29,1,22.0
0,2025-01-30,1,25.65038999999888
0,2025-01-31,1,77.90038999999888
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,44.09961000000112
0,2025-02-06,1,152.8515600000028
0,2025-02-07,0,-1.0
0,2025-02-10,1,175.09960999999748
0,2025-02-11,1,323.0507800000014
0,2025-02-12,1,48.75
0,2025-02-13,1,157.0
0,2025-02-14,1,216.75
0,2025-02-17,0,-1.0
0,2025-02-18,1,112.70117000000027
0,2025-02-19,1,80.69922000000224
0,2025-02-20,1,185.15038999999888
0,2025-02-21,1,218.40038999999888
0,2025-02-24,1,27.25
0,2025-02-25,1,59.19922000000224
0,2025-02-27,1,316.2988299999997
0,2025-02-28,1,144.59960999999748
0,2025-03-03,0,-1.0
0,2025-03-04,1,246.8007800000014
0,2025-03-05,1,42.25
0,2025-03-06,1,47.15039000000252
0,2025-03-07,1,33.701170000000275
0,2025-03-10,1,8.798829999999725
0,2025-03-11,1,57.75
0,2025-03-12,1,111.0
0,2025-03-13,0,-1.0
0,2025-03-17,1,277.0
0,2025-03-18,1,28.65038999999888
0,2025-03-19,1,173.6015600000028
0,2025-03-20,1,1.400390000002517
0,2025-03-21,0,-1.0
0,2025-03-24,1,172.0507800000014
0,2025-03-25,1,134.6992199999986
0,2025-03-26,1,33.34961000000112
0,2025-03-27,1,66.15039000000252
0,2025-03-28,1,72.1992199999986
0,2025-04-01,1,35.15039000000252
0,2025-04-02,1,137.44922000000224
0,2025-04-03,1,371.9003900000025
0,2025-04-04,1,1101.0488299999997
0,2025-04-07,1,346.8007800000014
0,2025-04-08,1,203.84961000000112
0,2025-04-09,1,438.5507800000014
0,2025-04-11,1,505.25
0,2025-04-15,1,35.94922000000224
0,2025-04-16,1,15.951170000000275
