,date,accuracy,potential
0,2024-10-30,0,-1
0,2024-10-31,1,3.209959999999228
0,2024-11-03,1,4.779779999999846
0,2024-11-04,1,8.529789999999593
0,2024-11-05,1,1.3999000000003434
0,2024-11-10,1,11.780279999999948
0,2024-11-11,0,-1
0,2024-11-12,1,22.200200000000223
0,2024-11-13,0,-1
0,2024-11-14,1,0.06981999999970867
0,2024-11-17,1,12.87988999999925
0,2024-11-18,1,8.55956999999944
0,2024-11-19,1,0.8403400000006513
0,2024-11-20,0,-1
0,2024-11-21,1,1.5102600000000166
0,2024-11-24,1,13.880380000000514
0,2024-11-25,1,1.5600600000007034
0,2024-11-26,1,18.709960000000137
0,2024-11-27,1,20.189940000000206
0,2024-11-28,1,0.6103600000005827
0,2024-12-01,1,8.689949999999953
0,2024-12-02,1,9.510260000000017
0,2024-12-03,1,10.590329999999994
0,2024-12-04,0,-1
0,2024-12-05,1,24.339849999999387
0,2024-12-08,0,-1
0,2024-12-09,1,11.979980000000069
0,2024-12-10,1,13.790039999999863
0,2024-12-11,1,1.009769999999662
0,2024-12-12,0,-1
0,2024-12-15,0,-1
0,2024-12-16,1,12.189940000000206
0,2024-12-17,0,-1
0,2024-12-22,1,2.4502000000002226
0,2024-12-23,0,-1
0,2024-12-24,1,6.709960000000137
0,2024-12-25,1,1.280279999999948
0,2024-12-26,1,15.069820000000618
0,2024-12-29,1,8.729980000000069
0,2024-12-30,1,10.859859999999571
0,2024-12-31,1,15.919920000000275
0,2025-01-05,1,3.2299800000000687
0,2025-01-06,1,2.6796800000001895
0,2025-01-07,1,9.850100000000566
0,2025-01-08,1,1.939940000000206
0,2025-01-09,1,15.120120000000497
0,2025-01-12,1,2.680170000000544
0,2025-01-13,0,-1
0,2025-01-14,0,-1
0,2025-01-15,1,5.429689999999937
0,2025-01-16,1,1.2900399999998626
0,2025-01-19,0,-1
0,2025-01-20,1,13.100099999999657
0,2025-01-21,1,1.5703100000000632
0,2025-01-22,1,2.7397399999999834
0,2025-01-23,1,18.540039999999863
0,2025-01-26,1,22.75
0,2025-01-27,1,24.180179999999382
0,2025-01-28,1,4.569829999999456
0,2025-01-29,1,18.939949999999953
0,2025-01-30,1,13.819819999999709
0,2025-02-02,1,111.22022000000015
0,2025-02-03,1,4.200199999999313
0,2025-02-04,1,28.280279999999948
0,2025-02-05,1,22.35986000000048
0,2025-02-06,1,5.129879999999503
0,2025-02-10,1,22.169919999999365
0,2025-02-12,1,19.89013000000068
0,2025-02-13,1,0.9501900000004753
0,2025-02-16,1,5.509760000000824
0,2025-02-17,0,-1
0,2025-02-18,0,-1
0,2025-02-19,0,-1
0,2025-02-20,1,10.9697299999998
0,2025-02-23,1,5.880370000000767
0,2025-02-24,1,0.7104400000007445
0,2025-02-25,1,76.77977999999985
0,2025-02-26,1,1.9399399999992966
0,2025-02-27,1,7.580080000000635
0,2025-03-03,0,-1
0,2025-03-04,1,14.5
0,2025-03-05,0,-1
0,2025-03-06,1,14.089849999999387
0,2025-03-09,0,-1
0,2025-03-10,0,-1
0,2025-03-11,1,10.270019999999931
0,2025-03-12,1,4.389650000000074
0,2025-03-13,1,8.790039999999863
0,2025-03-16,1,6.0
0,2025-03-17,1,13.990240000000085
0,2025-03-18,1,3.149899999999434
0,2025-03-19,1,4.200199999999313
0,2025-03-20,1,17.0
0,2025-03-23,1,11.10008999999991
0,2025-03-24,1,8.029779999999846
0,2025-03-25,1,23.490230000000338
0,2025-03-26,1,17.22998000000007
0,2025-03-27,0,-1
0,2025-04-06,0,-1
0,2025-04-07,0,-1
0,2025-04-08,0,-1
0,2025-04-09,1,148.05980999999974
0,2025-04-10,1,29.470219999999244
0,2025-04-13,0,-1
0,2025-04-14,0,-1
0,2025-04-15,0,-1
0,2025-04-16,1,21.87988999999925
