,date,accuracy,potential
0,2024-10-30,0,-1
0,2024-10-31,1,8.279779999999846
0,2024-11-03,1,9.76025000000027
0,2024-11-04,1,5.470220000000154
0,2024-11-05,1,28.259759999999915
0,2024-11-10,1,0.75
0,2024-11-11,0,-1
0,2024-11-12,1,5.310060000000703
0,2024-11-13,0,-1
0,2024-11-14,1,2.2099600000001374
0,2024-11-17,1,10.80956999999944
0,2024-11-18,1,3.5400399999998626
0,2024-11-19,1,4.590340000000651
0,2024-11-20,1,11.810059999999794
0,2024-11-21,1,16.62988999999925
0,2024-11-24,0,-1
0,2024-11-25,1,14.530279999999948
0,2024-11-26,1,3.9599600000001374
0,2024-11-27,0,-1
0,2024-11-28,0,-1
0,2024-12-01,1,1.8403400000006513
0,2024-12-02,1,7.350099999999657
0,2024-12-03,1,8.029779999999846
0,2024-12-04,0,-1
0,2024-12-05,1,9.5302700000002
0,2024-12-08,0,-1
0,2024-12-09,1,0.08984999999938736
0,2024-12-10,1,1.7202100000004066
0,2024-12-11,1,19.779789999999593
0,2024-12-12,0,-1
0,2024-12-15,0,-1
0,2024-12-16,1,4.3095699999994395
0,2024-12-17,1,29.069820000000618
0,2024-12-22,0,-1
0,2024-12-23,1,1.37988999999925
0,2024-12-24,1,4.549809999999525
0,2024-12-25,1,0.4799800000000687
0,2024-12-26,0,-1
0,2024-12-29,1,2.140139999999519
0,2024-12-30,1,10.87011000000075
0,2024-12-31,1,23.720219999999244
0,2025-01-05,1,3.450199999999313
0,2025-01-06,1,5.510260000000017
0,2025-01-07,1,12.510260000000017
0,2025-01-08,1,9.169920000000275
0,2025-01-09,1,3.5097599999999147
0,2025-01-12,1,13.620120000000497
0,2025-01-13,1,42.02001999999993
0,2025-01-14,1,11.649900000000343
0,2025-01-15,1,3.890139999999519
0,2025-01-16,0,-1
0,2025-01-19,0,-1
0,2025-01-20,1,11.200200000000223
0,2025-01-21,1,4.739749999999731
0,2025-01-22,1,1.8100500000000466
0,2025-01-23,1,8.66015999999945
0,2025-01-26,1,17.52001999999993
0,2025-01-27,1,19.830079999999725
0,2025-01-28,1,5.879879999999503
0,2025-01-29,1,5.16016000000036
0,2025-01-30,1,4.919920000000275
0,2025-02-02,0,-1
0,2025-02-03,0,-1
0,2025-02-04,1,12.229980000000069
0,2025-02-05,1,20.77001999999993
0,2025-02-06,1,21.349599999999555
0,2025-02-10,0,-1
0,2025-02-12,1,6.919930000000022
0,2025-02-13,1,8.169930000000022
0,2025-02-16,1,6.890140000000429
0,2025-02-17,0,-1
0,2025-02-18,1,2.209959999999228
0,2025-02-19,1,1.6401399999995192
0,2025-02-20,1,4.380380000000514
0,2025-02-23,1,2.0200199999999313
0,2025-02-24,1,25.060059999999794
0,2025-02-25,0,-1
0,2025-02-26,1,23.67968000000019
0,2025-02-27,1,18.050290000000132
0,2025-03-03,1,25.32032000000072
0,2025-03-04,1,17.26025000000027
0,2025-03-05,0,-1
0,2025-03-06,1,10.290039999999863
0,2025-03-09,0,-1
0,2025-03-10,1,17.850100000000566
0,2025-03-11,1,4.469720000000052
0,2025-03-12,0,-1
0,2025-03-13,1,10.490240000000085
0,2025-03-16,1,0.9296899999999368
0,2025-03-17,1,7.580069999999978
0,2025-03-18,1,7.620120000000497
0,2025-03-19,1,7.370119999999588
0,2025-03-20,1,4.939940000000206
0,2025-03-23,1,1.9497099999998682
0,2025-03-24,1,0.33007999999972526
0,2025-03-25,1,16.389639999999417
0,2025-03-26,0,-1
0,2025-03-27,0,-1
0,2025-04-06,0,-1
0,2025-04-07,1,67.54003999999986
0,2025-04-08,1,46.8701200000005
0,2025-04-09,1,122.12011000000075
0,2025-04-10,1,24.239739999999983
0,2025-04-13,0,-1
0,2025-04-14,1,9.790040000000772
0,2025-04-15,0,-1
0,2025-04-16,0,-1
