,date,accuracy,potential
0,2024-11-14,1,15.229980000000069
0,2024-11-15,1,1.7799099999999726
0,2024-11-18,1,13.430050000000165
0,2024-11-19,1,20.130009999999857
0,2024-11-20,1,10.319950000000063
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,5.709969999999885
0,2024-11-26,1,5.54004000000009
0,2024-11-27,1,19.04004000000009
0,2024-11-28,1,17.390010000000075
0,2024-11-29,0,-1.0
0,2024-12-02,1,5.970090000000027
0,2024-12-03,1,4.050040000000081
0,2024-12-04,0,-1.0
0,2024-12-05,1,2.449959999999919
0,2024-12-06,1,2.4000200000000405
0,2024-12-09,1,5.4000200000000405
0,2024-12-10,1,5.979980000000069
0,2024-12-11,1,8.550049999999828
0,2024-12-12,1,6.510009999999966
0,2024-12-13,1,10.089969999999994
0,2024-12-16,0,-1.0
0,2024-12-17,0,-1.0
0,2024-12-18,1,30.0
0,2024-12-19,1,3.410039999999981
0,2024-12-20,1,15.90002000000004
0,2024-12-23,1,1.6300000000001091
0,2024-12-24,1,14.059940000000097
0,2024-12-27,1,4.58008000000018
0,2024-12-30,1,1.1099799999999505
0,2024-12-31,1,2.0999799999999595
0,2025-01-02,1,10.10997999999995
0,2025-01-03,1,1.369989999999916
0,2025-01-06,1,13.240109999999959
0,2025-01-07,0,-1.0
0,2025-01-08,1,0.42003999999997177
0,2025-01-09,0,-1.0
0,2025-01-10,1,12.329960000000028
0,2025-01-13,0,-1.0
0,2025-01-14,1,0.9799799999998413
0,2025-01-15,0,-1.0
0,2025-01-16,1,3.5200200000001587
0,2025-01-17,1,6.1900600000001305
0,2025-01-20,1,4.8599799999999505
0,2025-01-21,0,-1.0
0,2025-01-22,1,13.589969999999994
0,2025-01-23,1,17.13000000000011
0,2025-01-24,1,12.280029999999897
0,2025-01-27,1,1.9699699999998757
0,2025-01-28,1,15.359989999999925
0,2025-01-29,1,4.389889999999923
0,2025-01-30,1,9.879999999999882
0,2025-01-31,1,32.48009999999999
0,2025-02-03,1,16.85997999999995
0,2025-02-04,1,1.4600800000000618
0,2025-02-05,0,-1.0
0,2025-02-06,1,8.670039999999972
0,2025-02-07,1,8.10008999999991
0,2025-02-10,0,-1.0
0,2025-02-11,1,12.489990000000034
0,2025-02-12,1,16.010009999999966
0,2025-02-13,1,10.059940000000097
0,2025-02-14,1,1.3299600000000282
0,2025-02-17,1,4.020020000000159
0,2025-02-18,0,-1.0
0,2025-02-19,1,22.34008999999992
0,2025-02-20,1,6.759890000000041
0,2025-02-21,0,-1.0
0,2025-02-24,1,21.04004000000009
0,2025-02-25,1,21.910030000000006
0,2025-02-26,0,-1.0
0,2025-02-27,1,20.920049999999947
0,2025-02-28,0,-1.0
0,2025-03-03,1,19.349970000000212
0,2025-03-04,0,-1.0
0,2025-03-05,1,8.199959999999919
0,2025-03-06,1,17.700070000000096
0,2025-03-07,1,25.109989999999925
0,2025-03-10,1,5.859989999999925
0,2025-03-11,1,14.79004000000009
0,2025-03-12,1,6.469969999999876
0,2025-03-13,1,0.7299800000000687
0,2025-03-14,0,-1.0
0,2025-03-17,1,14.979989999999816
0,2025-03-18,1,3.7900399999998626
0,2025-03-19,1,16.459960000000137
0,2025-03-20,1,27.220090000000027
0,2025-03-21,0,-1.0
0,2025-03-24,1,1.6999500000001717
0,2025-03-25,1,15.410030000000006
0,2025-03-26,1,8.449959999999919
0,2025-03-27,1,2.160039999999981
0,2025-03-28,1,34.09008999999992
0,2025-03-31,1,16.739990000000034
0,2025-04-01,1,32.87000000000012
0,2025-04-02,1,29.34997999999996
0,2025-04-03,1,25.80004000000008
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,132.06005000000005
0,2025-04-10,1,16.160030000000006
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,19.54004000000009
0,2025-04-16,1,10.28002000000015
