,date,accuracy,potential
0,2024-11-11,1,23.890629999999874
0,2024-11-12,1,175.1298800000004
0,2024-11-13,1,76.48047000000042
0,2024-11-14,1,138.35937999999987
0,2024-11-17,1,145.93944999999985
0,2024-11-18,0,-1.0
0,2024-11-19,1,55.04980000000069
0,2024-11-20,1,26.91016000000127
0,2024-11-21,1,16.139650000000984
0,2024-11-24,0,-1.0
0,2024-11-25,1,58.82031000000097
0,2024-11-26,1,106.13086000000112
0,2024-11-27,1,87.8496099999993
0,2024-11-28,0,-1.0
0,2024-12-01,1,52.79980000000069
0,2024-12-02,1,60.819330000000264
0,2024-12-03,1,35.75
0,2024-12-04,1,26.0
0,2024-12-05,0,-1.0
0,2024-12-08,0,-1.0
0,2024-12-09,1,22.120119999999588
0,2024-12-10,1,19.71972000000096
0,2024-12-11,1,44.520510000000286
0,2024-12-12,1,38.25
0,2024-12-15,1,32.76074000000153
0,2024-12-16,1,27.539059999999154
0,2024-12-17,0,-1.0
0,2024-12-18,1,39.12988000000041
0,2024-12-19,0,-1.0
0,2024-12-22,1,12.949220000000423
0,2024-12-23,1,34.29979999999887
0,2024-12-24,1,33.03027000000111
0,2024-12-25,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-29,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,25.389640000001236
0,2025-01-01,1,36.020510000000286
0,2025-01-02,1,32.03026999999929
0,2025-01-05,1,101.37011999999959
0,2025-01-06,1,47.12011999999959
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-09,1,18.02930000000015
0,2025-01-12,1,37.800780000001396
0,2025-01-13,1,10.680659999999989
0,2025-01-14,1,46.78027999999904
0,2025-01-15,1,76.23047000000042
0,2025-01-16,1,40.990239999999176
0,2025-01-19,1,21.099609999999302
0,2025-01-20,0,-1.0
0,2025-01-21,1,27.93065999999999
0,2025-01-22,1,88.30956999999944
0,2025-01-23,1,1.0
0,2025-01-26,1,107.21972999999889
0,2025-01-27,1,14.490229999999428
0,2025-01-28,1,345.3691399999989
0,2025-01-29,1,59.45996000000014
0,2025-01-30,1,128.40917999999874
0,2025-02-02,1,131.3398500000003
0,2025-02-03,1,24.66015999999945
0,2025-02-04,1,86.5507800000014
0,2025-02-05,0,-1.0
0,2025-02-06,1,9.820310000000973
0,2025-02-10,0,-1.0
0,2025-02-11,1,7.270510000000286
0,2025-02-12,1,21.08983999999873
0,2025-02-13,0,-1.0
0,2025-02-16,1,127.41992000000027
0,2025-02-17,1,18.930669999999736
0,2025-02-18,1,114.25977000000057
0,2025-02-19,1,46.34961000000112
0,2025-02-20,1,192.63965000000098
0,2025-02-24,1,54.12010999999984
0,2025-02-25,1,43.83984999999848
0,2025-02-26,1,172.0302699999993
0,2025-02-27,1,161.99023000000125
0,2025-03-02,1,74.16015999999945
0,2025-03-03,1,141.37989000000016
0,2025-03-04,1,48.24022999999943
0,2025-03-05,1,155.44042999999874
0,2025-03-06,1,42.37011999999959
0,2025-03-09,1,5.300779999999577
0,2025-03-10,0,-1.0
0,2025-03-11,1,45.00977000000057
0,2025-03-12,1,2.4599600000001374
0,2025-03-13,1,48.50977000000057
0,2025-03-16,1,129.56934
0,2025-03-17,1,7.390620000000126
0,2025-03-18,1,163.31933000000026
0,2025-03-19,1,35.479489999999714
0,2025-03-20,0,-1.0
0,2025-03-23,1,80.39940999999999
0,2025-03-24,1,150.07030999999915
0,2025-03-25,1,72.33984000000055
0,2025-03-26,1,99.12989000000016
0,2025-03-27,1,162.74023999999918
0,2025-04-03,0,-1.0
0,2025-04-06,1,534.89941
0,2025-04-07,0,-1.0
0,2025-04-08,1,215.2304699999986
0,2025-04-09,1,487.6406200000001
0,2025-04-10,0,-1.0
0,2025-04-13,1,48.9296800000011
0,2025-04-14,0,-1.0
0,2025-04-15,1,48.669920000000275
0,2025-04-16,1,79.62011999999959
