,date,accuracy,potential
0,2024-11-11,1,41.619619999999486
0,2024-11-12,0,-1.0
0,2024-11-13,1,198.29979999999978
0,2024-11-14,1,49.54003999999986
0,2024-11-17,1,34.37011999999959
0,2024-11-18,1,35.12011000000075
0,2024-11-19,1,27.209959999999228
0,2024-11-20,1,59.759759999999915
0,2024-11-21,1,37.72997999999916
0,2024-11-24,1,33.100100000000566
0,2024-11-25,0,-1.0
0,2024-11-26,0,-1.0
0,2024-11-27,1,13.510260000000017
0,2024-11-28,1,61.89014000000043
0,2024-12-01,1,4.42967999999928
0,2024-12-02,1,17.700200000000223
0,2024-12-03,1,12.399900000000343
0,2024-12-04,1,6.799800000000687
0,2024-12-05,0,-1.0
0,2024-12-08,1,32.46972000000005
0,2024-12-09,1,19.759760000000824
0,2024-12-10,1,10.449699999999211
0,2024-12-11,1,25.430170000000544
0,2024-12-12,0,-1.0
0,2024-12-15,1,62.87988000000041
0,2024-12-16,1,80.85008999999991
0,2024-12-17,1,25.860350000000835
0,2024-12-18,1,60.79003999999986
0,2024-12-19,0,-1.0
0,2024-12-22,1,59.270010000000184
0,2024-12-23,1,19.219720000000052
0,2024-12-24,1,26.9697299999998
0,2024-12-25,1,15.07958999999937
0,2024-12-26,1,39.01025000000027
0,2024-12-29,1,31.040039999999863
0,2024-12-30,1,38.70020000000022
0,2024-12-31,0,-1.0
0,2025-01-01,1,10.240230000000338
0,2025-01-02,1,17.60986000000048
0,2025-01-05,1,8.090340000000651
0,2025-01-06,1,10.979980000000069
0,2025-01-07,1,33.54003999999986
0,2025-01-08,1,26.77001999999993
0,2025-01-09,1,15.970220000000154
0,2025-01-12,0,-1.0
0,2025-01-13,1,56.47998000000007
0,2025-01-14,1,9.140140000000429
0,2025-01-15,1,48.51024999999936
0,2025-01-16,1,7.560550000000148
0,2025-01-19,1,40.490240000000995
0,2025-01-20,1,36.8496099999993
0,2025-01-21,1,8.629879999998593
0,2025-01-22,1,60.179690000000846
0,2025-01-23,1,20.46973000000071
0,2025-01-26,1,43.81055000000015
0,2025-01-27,0,-1.0
0,2025-01-28,0,-1.0
0,2025-01-29,1,58.51954000000114
0,2025-01-30,1,12.490239999999176
0,2025-02-02,1,107.92968999999903
0,2025-02-03,0,-1.0
0,2025-02-04,1,33.19922000000042
0,2025-02-05,1,11.33984000000055
0,2025-02-06,1,59.84961000000112
0,2025-02-10,1,19.870119999999588
0,2025-02-11,1,0.7607399999997142
0,2025-02-12,1,29.25
0,2025-02-13,1,29.200189999999566
0,2025-02-16,1,96.9003900000007
0,2025-02-17,0,-1.0
0,2025-02-18,0,-1.0
0,2025-02-19,0,-1.0
0,2025-02-20,1,2.4599600000001374
0,2025-02-24,1,50.830080000001544
0,2025-02-25,0,-1.0
0,2025-02-26,1,119.08007999999973
0,2025-02-27,1,88.75
0,2025-03-02,0,-1.0
0,2025-03-03,1,88.29980999999862
0,2025-03-04,0,-1.0
0,2025-03-05,1,180.16992000000027
0,2025-03-06,1,155.59961000000112
0,2025-03-09,1,64.69043000000056
0,2025-03-10,1,106.4101499999997
0,2025-03-11,1,17.33984000000055
0,2025-03-12,1,42.47069999999985
0,2025-03-13,1,54.65038999999888
0,2025-03-16,1,62.52929999999833
0,2025-03-17,1,68.4804699999986
0,2025-03-18,1,67.26952999999958
0,2025-03-19,1,46.87012000000141
0,2025-03-20,1,72.36035999999876
0,2025-03-23,0,-1.0
0,2025-03-24,1,13.490230000001247
0,2025-03-25,1,87.29003999999986
0,2025-03-26,0,-1.0
0,2025-03-27,1,253.00977000000057
0,2025-04-03,1,448.39941
0,2025-04-06,1,223.02001999999993
0,2025-04-07,0,-1.0
0,2025-04-08,1,45.95995999999832
0,2025-04-09,0,-1.0
0,2025-04-10,0,-1.0
0,2025-04-13,1,40.139650000000984
0,2025-04-14,0,-1.0
0,2025-04-15,1,1.3896500000009837
0,2025-04-16,1,93.4804699999986
