,date,accuracy,potential
0,2024-11-13,1,18.479989999999816
0,2024-11-14,1,13.079960000000028
0,2024-11-15,1,1.4599699999998847
0,2024-11-18,0,-1.0
0,2024-11-19,1,7.429989999999975
0,2024-11-20,1,0.020019999999931315
0,2024-11-21,0,-1.0
0,2024-11-22,1,3.1498999999998887
0,2024-11-25,1,6.139900000000125
0,2024-11-26,1,14.30993999999987
0,2024-11-27,1,6.459969999999885
0,2024-11-28,1,1.4099099999998543
0,2024-11-29,1,2.1400200000000495
0,2024-12-02,1,0.19005999999990308
0,2024-12-03,1,6.030029999999897
0,2024-12-04,1,11.839969999999994
0,2024-12-05,1,2.0399199999999382
0,2024-12-06,1,5.0599399999998695
0,2024-12-09,1,7.790039999999863
0,2024-12-10,1,4.329960000000028
0,2024-12-11,1,6.4000200000000405
0,2024-12-12,1,1.190059999999903
0,2024-12-13,1,1.0
0,2024-12-16,1,6.0900799999999435
0,2024-12-17,1,2.059940000000097
0,2024-12-18,0,-1.0
0,2024-12-19,1,6.520019999999931
0,2024-12-20,1,8.880009999999857
0,2024-12-23,1,7.060050000000047
0,2024-12-24,1,3.8099399999998695
0,2024-12-27,0,-1.0
0,2024-12-30,1,1.4500700000000961
0,2024-12-31,1,7.199949999999944
0,2025-01-02,1,8.160030000000006
0,2025-01-03,1,11.70995999999991
0,2025-01-06,0,-1.0
0,2025-01-07,1,5.779909999999973
0,2025-01-08,1,4.0900799999999435
0,2025-01-09,1,14.689940000000206
0,2025-01-10,1,2.1500200000000405
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,1,0.3800099999999702
0,2025-01-17,1,2.8499799999999595
0,2025-01-20,1,3.880000000000109
0,2025-01-21,1,3.150030000000015
0,2025-01-22,0,-1.0
0,2025-01-23,1,1.9500699999998687
0,2025-01-24,1,8.979980000000069
0,2025-01-27,0,-1.0
0,2025-01-28,1,9.86999999999989
0,2025-01-29,1,2.660030000000006
0,2025-01-30,1,6.479979999999841
0,2025-01-31,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,1,3.1700499999999465
0,2025-02-05,1,5.130000000000109
0,2025-02-06,1,0.32996000000002823
0,2025-02-07,1,2.5299700000000485
0,2025-02-10,1,6.679989999999975
0,2025-02-11,1,5.0
0,2025-02-12,0,-1.0
0,2025-02-13,1,2.7900399999998626
0,2025-02-14,0,-1.0
0,2025-02-18,1,8.83001999999999
0,2025-02-19,1,12.130009999999857
0,2025-02-20,1,1.7799700000000485
0,2025-02-21,1,16.580020000000104
0,2025-02-24,1,0.8800000000001091
0,2025-02-25,1,6.410039999999981
0,2025-02-26,0,-1.0
0,2025-02-27,1,3.1299999999998818
0,2025-02-28,1,6.080079999999953
0,2025-03-03,0,-1.0
0,2025-03-04,1,4.950070000000096
0,2025-03-05,1,11.369990000000143
0,2025-03-06,1,4.529909999999973
0,2025-03-07,1,9.439949999999953
0,2025-03-10,1,11.130009999999857
0,2025-03-11,0,-1.0
0,2025-03-12,1,17.429930000000013
0,2025-03-13,1,6.610040000000026
0,2025-03-14,1,7.080010000000016
0,2025-03-17,0,-1.0
0,2025-03-18,1,16.69995999999992
0,2025-03-19,1,3.7600099999999657
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,7.760009999999966
0,2025-03-25,1,3.6999500000001717
0,2025-03-26,0,-1.0
0,2025-03-27,1,1.2799099999999726
0,2025-03-28,1,18.319949999999835
0,2025-03-31,1,12.829950000000053
0,2025-04-01,1,8.58996000000002
0,2025-04-02,1,15.65002000000004
0,2025-04-03,1,23.459960000000137
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,1,5.180049999999937
0,2025-04-09,1,16.359989999999925
0,2025-04-10,1,0.19006000000013046
0,2025-04-11,0,-1.0
0,2025-04-14,1,12.369989999999916
0,2025-04-15,1,3.880010000000084
0,2025-04-16,1,0.41003999999998086
