,date,accuracy,potential
0,2024-11-08,1,103.8100600000007
0,2024-11-11,0,-1.0
0,2024-11-12,1,139.8496099999993
0,2024-11-13,1,13.739739999999983
0,2024-11-14,0,-1.0
0,2024-11-18,1,177.83983999999964
0,2024-11-19,1,63.85985999999957
0,2024-11-21,1,170.4399400000002
0,2024-11-22,1,289.18017000000054
0,2024-11-25,0,-1.0
0,2024-11-26,1,45.60986000000048
0,2024-11-27,0,-1.0
0,2024-11-28,1,58.32958999999937
0,2024-11-29,0,-1.0
0,2024-12-02,1,0.6201199999995879
0,2024-12-03,0,-1.0
0,2024-12-04,1,53.45996000000014
0,2024-12-05,1,94.05956999999944
0,2024-12-06,0,-1.0
0,2024-12-09,1,95.79980999999862
0,2024-12-10,1,33.6796800000011
0,2024-12-11,1,37.830079999999725
0,2024-12-12,1,30.390620000000126
0,2024-12-13,0,-1.0
0,2024-12-16,1,163.8798800000004
0,2024-12-17,1,70.16992000000027
0,2024-12-18,1,176.83007999999973
0,2024-12-19,1,77.29003999999986
0,2024-12-20,1,170.49022999999943
0,2024-12-23,1,67.04979999999887
0,2024-12-24,1,70.00977000000057
0,2024-12-26,1,37.52930000000015
0,2024-12-27,1,42.25
0,2024-12-30,0,-1.0
0,2024-12-31,1,66.81982000000062
0,2025-01-01,1,58.899899999999434
0,2025-01-02,1,64.82959000000119
0,2025-01-03,1,110.18018000000029
0,2025-01-06,0,-1.0
0,2025-01-07,1,85.44970999999987
0,2025-01-08,1,103.24023000000034
0,2025-01-09,1,195.6201199999996
0,2025-01-10,0,-1.0
0,2025-01-13,1,140.72998000000007
0,2025-01-14,1,67.56981999999971
0,2025-01-15,0,-1.0
0,2025-01-16,1,34.55029999999988
0,2025-01-17,1,60.419920000000275
0,2025-01-20,1,227.3100599999998
0,2025-01-21,1,257.5600600000007
0,2025-01-22,1,31.64013999999952
0,2025-01-23,1,47.220219999999244
0,2025-01-24,1,76.48973999999998
0,2025-01-27,1,60.930170000000544
0,2025-01-28,1,126.8496099999993
0,2025-01-29,0,-1.0
0,2025-01-30,1,63.64014000000043
0,2025-01-31,0,-1.0
0,2025-02-01,0,-1.0
0,2025-02-03,1,9.810059999999794
0,2025-02-04,1,77.72998000000007
0,2025-02-05,1,41.37011000000075
0,2025-02-06,1,67.39991000000009
0,2025-02-07,1,159.21044000000074
0,2025-02-10,1,207.77001999999993
0,2025-02-11,0,-1.0
0,2025-02-12,1,52.0302700000002
0,2025-02-13,1,92.66991999999937
0,2025-02-14,1,156.9399400000002
0,2025-02-17,1,2.350100000000566
0,2025-02-18,1,200.80029999999988
0,2025-02-19,1,53.99023000000034
0,2025-02-20,1,83.04003999999986
0,2025-02-21,0,-1.0
0,2025-02-24,1,97.54003999999986
0,2025-02-25,0,-1.0
0,2025-02-27,0,-1.0
0,2025-02-28,1,81.55956999999944
0,2025-03-03,1,58.12988000000041
0,2025-03-04,1,157.3100599999998
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,47.62988999999925
0,2025-03-10,1,29.44969999999921
0,2025-03-11,1,23.760260000000017
0,2025-03-12,1,13.370119999999588
0,2025-03-13,1,14.05956999999944
0,2025-03-17,1,139.65965999999935
0,2025-03-18,1,88.52001999999993
0,2025-03-19,1,117.27001999999993
0,2025-03-20,0,-1.0
0,2025-03-21,1,141.25
0,2025-03-24,1,80.55029000000013
0,2025-03-25,0,-1.0
0,2025-03-26,1,31.419919999999365
0,2025-03-27,1,23.849609999999302
0,2025-03-28,0,-1.0
0,2025-04-01,0,-1.0
0,2025-04-02,1,36.169920000000275
0,2025-04-03,0,-1.0
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,1,314.5400300000001
0,2025-04-15,1,43.24023000000034
0,2025-04-16,1,12.669920000000275
