,date,accuracy,potential
0,2024-10-30,0,-1
0,2024-10-31,1,2.700199999999313
0,2024-11-03,1,9.76025000000027
0,2024-11-04,1,5.470220000000154
0,2024-11-05,1,28.259759999999915
0,2024-11-10,1,0.75
0,2024-11-11,0,-1
0,2024-11-12,1,5.310060000000703
0,2024-11-13,0,-1
0,2024-11-14,1,10.029779999999846
0,2024-11-17,1,1.560059999999794
0,2024-11-18,1,3.5400399999998626
0,2024-11-19,1,4.590340000000651
0,2024-11-20,0,-1
0,2024-11-21,0,-1
0,2024-11-24,0,-1
0,2024-11-25,0,-1
0,2024-11-26,1,3.9599600000001374
0,2024-11-27,1,20.710440000000744
0,2024-11-28,1,6.069819999999709
0,2024-12-01,1,4.659659999999349
0,2024-12-02,1,7.350099999999657
0,2024-12-03,1,4.260260000000017
0,2024-12-04,0,-1
0,2024-12-05,1,10.060059999999794
0,2024-12-08,0,-1
0,2024-12-09,1,0.08984999999938736
0,2024-12-10,1,1.7202100000004066
0,2024-12-11,1,1.009769999999662
0,2024-12-12,0,-1
0,2024-12-15,1,12.4697299999998
0,2024-12-16,1,4.3095699999994395
0,2024-12-17,0,-1
0,2024-12-22,1,16.810059999999794
0,2024-12-23,1,1.37988999999925
0,2024-12-24,1,4.549809999999525
0,2024-12-25,1,0.4799800000000687
0,2024-12-26,0,-1
0,2024-12-29,1,2.140139999999519
0,2024-12-30,1,10.87011000000075
0,2024-12-31,1,23.720219999999244
0,2025-01-05,1,6.7797800000007555
0,2025-01-06,1,8.279779999999846
0,2025-01-07,1,12.510260000000017
0,2025-01-08,1,9.169920000000275
0,2025-01-09,1,36.51026000000002
0,2025-01-12,1,7.649900000000343
0,2025-01-13,0,-1
0,2025-01-14,1,11.649900000000343
0,2025-01-15,1,3.890139999999519
0,2025-01-16,0,-1
0,2025-01-19,0,-1
0,2025-01-20,1,11.200200000000223
0,2025-01-21,1,9.620119999999588
0,2025-01-22,1,1.8100500000000466
0,2025-01-23,1,8.66015999999945
0,2025-01-26,1,3.4096599999993487
0,2025-01-27,1,4.279779999999846
0,2025-01-28,1,12.110360000000583
0,2025-01-29,1,5.16016000000036
0,2025-01-30,1,4.919920000000275
0,2025-02-02,1,54.14014000000043
0,2025-02-03,0,-1
0,2025-02-04,1,12.229980000000069
0,2025-02-05,1,20.77001999999993
0,2025-02-06,1,21.349599999999555
0,2025-02-10,0,-1
0,2025-02-12,1,6.919930000000022
0,2025-02-13,0,-1
0,2025-02-16,1,6.890140000000429
0,2025-02-17,0,-1
0,2025-02-18,1,6.1596700000000055
0,2025-02-19,1,1.6401399999995192
0,2025-02-20,1,4.380380000000514
0,2025-02-23,1,6.790039999999863
0,2025-02-24,1,25.060059999999794
0,2025-02-25,0,-1
0,2025-02-26,1,23.67968000000019
0,2025-02-27,1,11.55956999999944
0,2025-03-03,1,25.32032000000072
0,2025-03-04,1,2.7202100000004066
0,2025-03-05,0,-1
0,2025-03-06,1,10.290039999999863
0,2025-03-09,0,-1
0,2025-03-10,0,-1
0,2025-03-11,1,4.469720000000052
0,2025-03-12,0,-1
0,2025-03-13,0,-1
0,2025-03-16,1,0.9296899999999368
0,2025-03-17,1,7.580069999999978
0,2025-03-18,1,7.620120000000497
0,2025-03-19,1,1.8300800000006348
0,2025-03-20,1,4.939940000000206
0,2025-03-23,1,12.399899999999434
0,2025-03-24,1,17.970210000000407
0,2025-03-25,1,16.389639999999417
0,2025-03-26,0,-1
0,2025-03-27,1,280.7900300000001
0,2025-04-06,0,-1
0,2025-04-07,1,67.54003999999986
0,2025-04-08,1,46.8701200000005
0,2025-04-09,1,122.12011000000075
0,2025-04-10,1,24.239739999999983
0,2025-04-13,1,35.439940000000206
0,2025-04-14,0,-1
0,2025-04-15,0,-1
0,2025-04-16,0,-1
