,date,accuracy,potential
0,2024-11-11,1,220.21094000000085
0,2024-11-12,1,307.64844000000085
0,2024-11-13,1,719.6992199999986
0,2024-11-14,1,374.11132
0,2024-11-17,1,41.05077999999776
0,2024-11-18,1,291.98047000000224
0,2024-11-19,1,160.76952999999776
0,2024-11-20,1,84.35936999999831
0,2024-11-21,1,214.8711000000003
0,2024-11-24,1,203.34961000000112
0,2024-11-25,0,-1.0
0,2024-11-26,1,230.96094000000085
0,2024-11-27,1,269.73827999999776
0,2024-11-28,1,156.08007999999973
0,2024-12-01,1,492.1406199999983
0,2024-12-02,1,95.65039000000252
0,2024-12-03,1,390.8906300000017
0,2024-12-04,1,17.730470000002242
0,2024-12-05,0,-1.0
0,2024-12-08,1,736.0097600000008
0,2024-12-09,1,105.50976000000082
0,2024-12-10,1,132.37109000000055
0,2024-12-11,1,149.62889999999607
0,2024-12-12,1,654.9296900000008
0,2024-12-15,1,288.41015999999945
0,2024-12-16,1,313.0683599999975
0,2024-12-17,1,586.1992200000022
0,2024-12-18,1,689.7382800000014
0,2024-12-19,0,-1.0
0,2024-12-22,1,780.6503899999989
0,2024-12-23,1,117.78125
0,2024-12-24,1,658.6406300000017
0,2024-12-25,1,251.24023000000307
0,2024-12-26,1,152.35155999999915
0,2024-12-29,0,-1.0
0,2024-12-30,1,64.28125
0,2024-12-31,1,173.91015999999945
0,2025-01-01,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-05,1,742.4726599999995
0,2025-01-06,1,661.2109399999972
0,2025-01-07,1,311.87109999999666
0,2025-01-08,1,1082.7890600000028
0,2025-01-09,1,233.91797000000224
0,2025-01-12,1,570.0214799999994
0,2025-01-13,1,573.0195299999978
0,2025-01-14,1,243.03905999999915
0,2025-01-15,1,593.2109399999972
0,2025-01-16,1,179.38085999999748
0,2025-01-19,1,193.5703100000028
0,2025-01-20,0,-1.0
0,2025-01-21,1,339.9296899999972
0,2025-01-22,1,241.37890999999945
0,2025-01-23,1,158.3593800000017
0,2025-01-26,1,169.1288999999997
0,2025-01-27,1,315.9003899999989
0,2025-01-28,1,124.50976000000082
0,2025-01-29,1,113.75
0,2025-01-30,1,261.76952999999776
0,2025-02-02,1,344.77930000000197
0,2025-02-03,1,176.40038999999888
0,2025-02-04,1,209.6093800000017
0,2025-02-05,1,98.43944999999803
0,2025-02-06,1,259.9003899999989
0,2025-02-10,1,27.74022999999943
0,2025-02-11,0,-1.0
0,2025-02-12,0,-1.0
0,2025-02-13,1,367.1406199999983
0,2025-02-16,1,443.94922000000224
0,2025-02-17,1,70.49023999999918
0,2025-02-18,0,-1.0
0,2025-02-19,1,166.95897999999943
0,2025-02-20,1,560.1796899999972
0,2025-02-24,1,356.57030999999915
0,2025-02-25,1,215.8203100000028
0,2025-02-26,1,408.4492199999986
0,2025-02-27,1,191.28125
0,2025-03-02,1,219.13084999999774
0,2025-03-03,1,574.7304599999989
0,2025-03-04,1,99.36913999999888
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-09,1,667.3203099999992
0,2025-03-10,1,1100.3496099999975
0,2025-03-11,1,401.3496099999975
0,2025-03-12,1,216.2695300000014
0,2025-03-13,0,-1.0
0,2025-03-16,1,259.7988299999997
0,2025-03-17,1,249.23045999999886
0,2025-03-18,1,642.5800799999997
0,2025-03-19,0,-1.0
0,2025-03-20,1,292.0
0,2025-03-23,1,300.12890999999945
0,2025-03-24,1,329.1503899999989
0,2025-03-25,0,-1.0
0,2025-03-26,1,539.2792899999986
0,2025-03-27,1,474.0097700000006
0,2025-04-03,1,1478.279300000002
0,2025-04-06,1,1496.9414099999995
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,825.1191399999989
0,2025-04-10,0,-1.0
0,2025-04-13,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,613.5898500000003
0,2025-04-16,1,468.6503899999989
