,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,0.9100300000000061
0,2024-11-13,1,5.070010000000025
0,2024-11-14,1,2.1300000000000523
0,2024-11-15,1,2.2800000000000296
0,2024-11-18,0,-1
0,2024-11-19,1,3.6100400000000263
0,2024-11-20,1,3.679990000000089
0,2024-11-21,0,-1
0,2024-11-22,1,6.940000000000055
0,2024-11-25,1,6.619999999999891
0,2024-11-26,1,4.140010000000075
0,2024-11-27,1,0.5300199999999222
0,2024-11-29,1,5.75
0,2024-12-02,1,3.6799899999999752
0,2024-12-03,0,-1
0,2024-12-04,1,10.479979999999955
0,2024-12-05,1,1.1000300000000607
0,2024-12-06,0,-1
0,2024-12-09,0,-1
0,2024-12-10,1,2.1900000000000546
0,2024-12-11,1,1.4600200000000996
0,2024-12-12,0,-1
0,2024-12-13,1,2.5800199999999904
0,2024-12-16,0,-1
0,2024-12-17,1,0.28000000000002956
0,2024-12-18,1,5.319999999999993
0,2024-12-19,1,2.6200000000000045
0,2024-12-20,1,3.449990000000014
0,2024-12-23,0,-1
0,2024-12-24,1,1.1299999999999955
0,2024-12-26,1,2.4399999999999977
0,2024-12-27,0,-1
0,2024-12-30,0,-1
0,2024-12-31,1,2.8200100000000248
0,2025-01-02,1,1.7400200000000154
0,2025-01-03,1,7.29998999999998
0,2025-01-06,1,3.01998999999995
0,2025-01-07,0,-1
0,2025-01-08,1,4.460020000000043
0,2025-01-10,1,2.6499999999999773
0,2025-01-13,0,-1
0,2025-01-14,0,-1
0,2025-01-15,1,3.5800100000000157
0,2025-01-16,0,-1
0,2025-01-17,0,-1
0,2025-01-21,0,-1
0,2025-01-22,1,1.8799999999999955
0,2025-01-23,1,1.1699800000000096
0,2025-01-24,1,3.5399700000000394
0,2025-01-27,1,4.359980000000007
0,2025-01-28,1,7.46999999999997
0,2025-01-29,0,-1
0,2025-01-30,1,0.9800099999999929
0,2025-01-31,1,11.5
0,2025-02-03,0,-1
0,2025-02-04,1,2.0499899999999798
0,2025-02-05,1,5.569979999999987
0,2025-02-06,0,-1
0,2025-02-07,1,4.7399899999999775
0,2025-02-10,1,1.5099799999999846
0,2025-02-11,1,12.17999999999995
0,2025-02-12,0,-1
0,2025-02-13,1,4.050010000000043
0,2025-02-14,1,4.619989999999973
0,2025-02-18,1,5.25
0,2025-02-19,0,-1
0,2025-02-20,1,2.63000999999997
0,2025-02-21,1,2.4400099999999725
0,2025-02-24,1,0.20999000000000478
0,2025-02-25,1,1.890010000000018
0,2025-02-26,1,2.01998999999995
0,2025-02-27,1,0.1300099999999702
0,2025-02-28,0,-1
0,2025-03-03,0,-1
0,2025-03-04,1,11.879999999999995
0,2025-03-05,1,0.8999900000000025
0,2025-03-06,1,0.5699799999999868
0,2025-03-07,1,11.270020000000045
0,2025-03-10,1,5.810000000000002
0,2025-03-11,1,2.120020000000011
0,2025-03-12,1,3.6000099999999975
0,2025-03-13,0,-1
0,2025-03-14,1,6.25
0,2025-03-17,1,2.6899999999999977
0,2025-03-18,1,2.25
0,2025-03-19,1,0.48000999999999294
0,2025-03-20,1,9.720000000000027
0,2025-03-21,0,-1
0,2025-03-24,0,-1
0,2025-03-25,1,3.3799999999999955
0,2025-03-26,1,5.1200000000000045
0,2025-03-27,1,1.75
0,2025-03-28,1,3.1600099999999998
0,2025-03-31,1,5.290009999999995
0,2025-04-01,1,3.86002000000002
0,2025-04-02,1,26.66001
0,2025-04-03,1,25.709989999999948
0,2025-04-04,1,24.859989999999982
0,2025-04-07,1,8.810000000000002
0,2025-04-08,1,0.09000000000003183
0,2025-04-09,0,-1
0,2025-04-10,1,0.7100200000000427
0,2025-04-11,1,7.239990000000034
0,2025-04-14,1,0.9400000000000546
0,2025-04-15,1,3.11999000000003
0,2025-04-16,1,4.720010000000002
