,date,accuracy,potential
0,2024-11-14,1,162.99022999999943
0,2024-11-15,1,31.610349999999016
0,2024-11-18,1,35.0
0,2024-11-19,0,-1.0
0,2024-11-20,1,0.29980000000068685
0,2024-11-21,1,82.12989000000016
0,2024-11-22,1,57.699219999998604
0,2024-11-25,0,-1.0
0,2024-11-26,1,17.9296800000011
0,2024-11-27,1,11.570319999998901
0,2024-11-28,0,-1.0
0,2024-11-29,1,29.83984000000055
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,26.860350000000835
0,2024-12-05,1,4.890620000000126
0,2024-12-06,1,49.39940999999999
0,2024-12-09,0,-1.0
0,2024-12-10,1,14.889650000000984
0,2024-12-11,1,15.560539999998582
0,2024-12-12,1,54.18065999999999
0,2024-12-13,1,0.9199200000002747
0,2024-12-16,1,18.570310000000973
0,2024-12-17,1,15.189460000001418
0,2024-12-18,0,-1.0
0,2024-12-19,1,65.85058000000026
0,2024-12-20,0,-1.0
0,2024-12-23,1,62.75976999999875
0,2024-12-24,0,-1.0
0,2024-12-27,1,144.64941
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,1,89.35057999999844
0,2025-01-03,1,87.95018999999957
0,2025-01-06,1,40.60059000000001
0,2025-01-07,1,64.64062999999987
0,2025-01-08,1,23.520510000000286
0,2025-01-09,1,13.449219999998604
0,2025-01-10,0,-1.0
0,2025-01-13,1,67.0996099999993
0,2025-01-14,1,67.72070000000167
0,2025-01-15,1,32.570309999999154
0,2025-01-16,1,11.849610000001121
0,2025-01-17,0,-1.0
0,2025-01-20,1,76.79979999999887
0,2025-01-21,1,6.600580000000264
0,2025-01-22,1,38.62988000000041
0,2025-01-23,1,122.10937999999987
0,2025-01-24,1,55.229489999999714
0,2025-01-27,1,39.5
0,2025-01-28,1,28.81055000000015
0,2025-01-29,1,103.16015999999945
0,2025-01-30,1,8.929689999999027
0,2025-01-31,0,-1.0
0,2025-02-03,1,37.5996099999993
0,2025-02-04,1,55.169920000000275
0,2025-02-05,1,1.5498000000006869
0,2025-02-06,1,4.320319999998901
0,2025-02-07,1,68.75
0,2025-02-10,0,-1.0
0,2025-02-11,1,12.099610000001121
0,2025-02-12,1,66.93065999999999
0,2025-02-13,1,88.42090000000098
0,2025-02-14,0,-1.0
0,2025-02-17,1,41.87989000000016
0,2025-02-18,1,36.45996000000014
0,2025-02-19,0,-1.0
0,2025-02-20,1,14.280269999999291
0,2025-02-21,0,-1.0
0,2025-02-24,1,42.330079999999725
0,2025-02-25,1,104.52930000000015
0,2025-02-26,1,58.87988000000041
0,2025-02-27,1,90.0
0,2025-02-28,1,73.50976999999875
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,32.37988000000041
0,2025-03-06,1,75.08984999999848
0,2025-03-07,0,-1.0
0,2025-03-10,1,46.16993000000002
0,2025-03-11,0,-1.0
0,2025-03-12,1,119.83984000000055
0,2025-03-13,0,-1.0
0,2025-03-14,1,66.83007999999973
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,73.42968999999903
0,2025-03-20,1,31.660149999999703
0,2025-03-21,1,44.68065999999999
0,2025-03-24,0,-1.0
0,2025-03-25,1,216.59961000000112
0,2025-03-26,0,-1.0
0,2025-03-27,1,14.08983999999873
0,2025-03-28,1,17.860350000000835
0,2025-03-31,0,-1.0
0,2025-04-01,0,-1.0
0,2025-04-02,1,119.95018999999957
0,2025-04-03,1,2.8896499999991647
0,2025-04-04,0,-1.0
0,2025-04-07,1,538.3007800000014
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-10,1,81.61035999999876
0,2025-04-11,0,-1.0
0,2025-04-14,1,6.979489999999714
0,2025-04-15,0,-1.0
0,2025-04-16,1,12.020510000000286
