,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,0.44994999999971697
0,2024-11-13,1,9.350099999999657
0,2024-11-14,1,36.45995999999968
0,2024-11-15,1,2.1201200000000426
0,2024-11-18,0,-1
0,2024-11-19,1,6.149899999999889
0,2024-11-20,1,44.760009999999966
0,2024-11-21,0,-1
0,2024-11-22,1,72.63988999999992
0,2024-11-25,1,32.0
0,2024-11-26,1,7.129879999999957
0,2024-11-27,0,-1
0,2024-11-29,1,20.440190000000257
0,2024-12-02,1,4.51001000000042
0,2024-12-03,1,2.300050000000283
0,2024-12-04,1,1.6000999999996566
0,2024-12-05,1,22.679929999999786
0,2024-12-06,1,17.729979999999614
0,2024-12-09,1,29.379879999999957
0,2024-12-10,0,-1
0,2024-12-11,1,2.4399399999997513
0,2024-12-12,1,21.31981999999971
0,2024-12-13,1,16.300050000000283
0,2024-12-16,0,-1
0,2024-12-17,0,-1
0,2024-12-18,1,44.79003999999986
0,2024-12-19,1,39.170170000000326
0,2024-12-20,0,-1
0,2024-12-23,1,3.190190000000257
0,2024-12-24,1,16.07983000000013
0,2024-12-26,1,0.3801300000000083
0,2024-12-27,0,-1
0,2024-12-30,0,-1
0,2024-12-31,0,-1
0,2025-01-02,1,6.190190000000257
0,2025-01-03,1,38.81006000000025
0,2025-01-06,1,17.280029999999897
0,2025-01-07,0,-1
0,2025-01-08,1,52.820070000000214
0,2025-01-10,1,3.9699699999996483
0,2025-01-13,1,39.53978999999981
0,2025-01-14,0,-1
0,2025-01-15,1,6.879879999999957
0,2025-01-16,1,21.72998000000007
0,2025-01-17,0,-1
0,2025-01-21,1,8.260009999999966
0,2025-01-22,1,21.27001999999993
0,2025-01-23,1,0.45996000000013737
0,2025-01-24,0,-1
0,2025-01-27,1,7.299799999999777
0,2025-01-28,1,4.600100000000111
0,2025-01-29,0,-1
0,2025-01-30,1,9.030029999999897
0,2025-01-31,1,80.89013999999997
0,2025-02-03,1,19.46996999999965
0,2025-02-04,1,15.969970000000103
0,2025-02-05,1,2.4899900000000343
0,2025-02-06,0,-1
0,2025-02-07,1,14.780029999999897
0,2025-02-10,1,18.870120000000043
0,2025-02-11,0,-1
0,2025-02-12,1,17.199949999999717
0,2025-02-13,1,18.68018000000029
0,2025-02-14,1,25.18993999999975
0,2025-02-18,0,-1
0,2025-02-19,1,42.33008000000018
0,2025-02-20,1,13.840090000000146
0,2025-02-21,1,9.290040000000317
0,2025-02-24,1,18.870120000000043
0,2025-02-25,1,35.829829999999674
0,2025-02-26,1,21.530029999999897
0,2025-02-27,1,22.959960000000137
0,2025-02-28,1,14.66991999999982
0,2025-03-03,1,83.77001999999993
0,2025-03-04,1,2.0200199999999313
0,2025-03-05,1,47.19994999999972
0,2025-03-06,1,25.969970000000103
0,2025-03-07,1,39.87012000000004
0,2025-03-10,1,11.270019999999931
0,2025-03-11,1,35.37012000000004
0,2025-03-12,1,2.690190000000257
0,2025-03-13,0,-1
0,2025-03-14,1,1.4299299999997857
0,2025-03-17,0,-1
0,2025-03-18,1,16.18993999999975
0,2025-03-19,1,23.77001999999993
0,2025-03-20,1,45.02001999999993
0,2025-03-21,1,67.56006000000025
0,2025-03-24,1,11.260009999999966
0,2025-03-25,1,16.72998000000007
0,2025-03-26,1,2.800050000000283
0,2025-03-27,0,-1
0,2025-03-28,1,55.5300299999999
0,2025-03-31,1,7.290039999999863
0,2025-04-01,1,32.06006000000025
0,2025-04-02,0,-1
0,2025-04-03,0,-1
0,2025-04-04,1,80.62987999999996
0,2025-04-07,0,-1
0,2025-04-08,1,20.55004999999983
0,2025-04-09,0,-1
0,2025-04-10,1,44.429929999999786
0,2025-04-11,1,45.070070000000214
0,2025-04-14,1,28.029779999999846
0,2025-04-15,1,0.13988999999992302
0,2025-04-16,0,-1
