,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,2.8593800000016927
0,2024-11-13,1,69.33984999999666
0,2024-11-14,1,42.451170000000275
0,2024-11-15,1,93.6992199999986
0,2024-11-18,1,192.15039000000252
0,2024-11-19,1,124.81054999999833
0,2024-11-20,0,-1
0,2024-11-21,0,-1
0,2024-11-22,0,-1
0,2024-11-25,1,191.95898999999918
0,2024-11-26,1,104.22070000000167
0,2024-11-27,1,117.0507800000014
0,2024-11-29,1,3.3300799999997253
0,2024-12-02,1,323.31054999999833
0,2024-12-03,1,106.4609300000011
0,2024-12-04,1,87.81054999999833
0,2024-12-05,1,137.1406199999983
0,2024-12-06,1,5.220699999998033
0,2024-12-09,1,92.16991999999664
0,2024-12-10,1,105.82030999999915
0,2024-12-11,1,136.73047000000224
0,2024-12-12,1,107.3398500000003
0,2024-12-13,1,81.42968999999721
0,2024-12-16,0,-1
0,2024-12-17,1,16.050780000001396
0,2024-12-18,1,200.70019000000138
0,2024-12-19,1,170.15038999999888
0,2024-12-20,1,102.70996000000014
0,2024-12-23,1,50.41016000000127
0,2024-12-24,1,58.81055000000015
0,2024-12-26,1,100.95996000000014
0,2024-12-27,1,289.79003999999986
0,2024-12-30,0,-1
0,2024-12-31,1,14.299799999998868
0,2025-01-02,1,122.23045999999886
0,2025-01-03,0,-1
0,2025-01-06,1,123.06055000000015
0,2025-01-07,1,157.3701199999996
0,2025-01-08,1,165.68944999999985
0,2025-01-10,1,121.08007999999973
0,2025-01-13,1,209.7294899999997
0,2025-01-14,1,298.3808599999993
0,2025-01-15,1,45.65038999999888
0,2025-01-16,1,177.06835999999748
0,2025-01-17,1,165.51952999999776
0,2025-01-21,1,104.21875
0,2025-01-22,0,-1
0,2025-01-23,0,-1
0,2025-01-24,0,-1
0,2025-01-27,0,-1
0,2025-01-28,0,-1
0,2025-01-29,1,283.6406199999983
0,2025-01-30,1,67.08007999999973
0,2025-01-31,1,512.8300799999997
0,2025-02-03,0,-1
0,2025-02-04,0,-1
0,2025-02-05,0,-1
0,2025-02-06,1,45.760739999999714
0,2025-02-07,0,-1
0,2025-02-10,1,79.50098000000071
0,2025-02-11,1,226.8798800000004
0,2025-02-12,1,97.11913999999888
0,2025-02-13,1,154.36132999999973
0,2025-02-14,1,154.23047000000224
0,2025-02-18,0,-1
0,2025-02-19,1,158.5195300000014
0,2025-02-20,1,0.570319999998901
0,2025-02-21,1,85.52930000000015
0,2025-02-24,1,124.83984999999848
0,2025-02-25,1,214.91016000000127
0,2025-02-26,1,49.84961000000112
0,2025-02-27,0,-1
0,2025-02-28,1,146.2197299999989
0,2025-03-03,0,-1
0,2025-03-04,1,17.449219999998604
0,2025-03-05,1,45.29003999999986
0,2025-03-06,1,99.31055000000015
0,2025-03-07,1,214.80957000000126
0,2025-03-10,1,429.29003999999986
0,2025-03-11,1,254.79003999999986
0,2025-03-12,1,70.05957000000126
0,2025-03-13,1,131.57030999999915
0,2025-03-14,1,73.33007999999973
0,2025-03-17,1,196.25976999999875
0,2025-03-18,1,48.62988000000041
0,2025-03-19,1,43.12988000000041
0,2025-03-20,1,384.66015999999945
0,2025-03-21,0,-1
0,2025-03-24,1,59.37011999999959
0,2025-03-25,1,100.92968999999903
0,2025-03-26,1,102.54004000000168
0,2025-03-27,1,245.16991999999846
0,2025-03-28,1,26.240240000000995
0,2025-03-31,1,235.52930000000015
0,2025-04-01,1,135.74023999999918
0,2025-04-02,1,1139.2597699999988
0,2025-04-03,0,-1
0,2025-04-04,1,595.1904300000006
0,2025-04-07,1,398.0302700000011
0,2025-04-08,1,127.10059000000001
0,2025-04-09,0,-1
0,2025-04-10,0,-1
0,2025-04-11,0,-1
0,2025-04-14,1,24.65038999999888
0,2025-04-15,1,263.860349999999
0,2025-04-16,1,275.4003900000007
