,date,accuracy,potential
0,2024-11-08,1,57.34961000000112
0,2024-11-11,1,45.451170000000275
0,2024-11-12,1,13.25
0,2024-11-13,1,91.4492199999986
0,2024-11-14,0,-1.0
0,2024-11-18,1,177.5
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,1,267.6503900000025
0,2024-11-25,1,26.65038999999888
0,2024-11-26,1,65.6992199999986
0,2024-11-27,1,18.199219999998604
0,2024-11-28,1,13.900389999998879
0,2024-11-29,1,85.59961000000112
0,2024-12-02,1,69.5
0,2024-12-03,0,-1.0
0,2024-12-04,1,59.048829999999725
0,2024-12-05,1,28.0
0,2024-12-06,0,-1.0
0,2024-12-09,1,55.800780000001396
0,2024-12-10,1,81.20117000000027
0,2024-12-11,1,54.65038999999888
0,2024-12-12,1,211.8984399999972
0,2024-12-13,1,95.25
0,2024-12-16,0,-1.0
0,2024-12-17,1,100.55077999999776
0,2024-12-18,0,-1.0
0,2024-12-19,1,102.65038999999888
0,2024-12-20,1,97.60156000000279
0,2024-12-23,1,2.550779999997758
0,2024-12-24,1,8.050780000001396
0,2024-12-26,1,135.84960999999748
0,2024-12-27,1,116.39843999999721
0,2024-12-30,1,130.69922000000224
0,2024-12-31,1,32.15038999999888
0,2025-01-01,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,64.1992199999986
0,2025-01-06,1,112.40038999999888
0,2025-01-07,1,23.449219999998604
0,2025-01-08,1,58.15039000000252
0,2025-01-09,1,45.15038999999888
0,2025-01-10,1,177.0
0,2025-01-13,1,60.25
0,2025-01-14,1,85.69922000000224
0,2025-01-15,1,58.84960999999748
0,2025-01-16,1,27.300780000001396
0,2025-01-17,1,15.150389999998879
0,2025-01-20,1,124.54882999999973
0,2025-01-21,1,97.25
0,2025-01-22,1,141.25
0,2025-01-23,1,141.0
0,2025-01-24,1,137.15038999999888
0,2025-01-27,1,64.55077999999776
0,2025-01-28,1,72.0
0,2025-01-29,1,0.19922000000224216
0,2025-01-30,1,26.09961000000112
0,2025-01-31,1,28.0
0,2025-02-01,1,121.84960999999748
0,2025-02-03,1,23.201170000000275
0,2025-02-04,0,-1.0
0,2025-02-05,1,30.15038999999888
0,2025-02-06,1,96.75
0,2025-02-07,0,-1.0
0,2025-02-10,1,139.0
0,2025-02-11,1,161.15038999999888
0,2025-02-12,1,4.550780000001396
0,2025-02-13,1,64.90039000000252
0,2025-02-14,1,92.8007800000014
0,2025-02-17,1,84.0
0,2025-02-18,1,120.90039000000252
0,2025-02-19,1,73.34961000000112
0,2025-02-20,1,143.79882999999973
0,2025-02-21,1,122.95117000000027
0,2025-02-24,1,25.951170000000275
0,2025-02-25,1,23.900390000002517
0,2025-02-27,1,296.3496099999975
0,2025-02-28,1,55.10156000000279
0,2025-03-03,0,-1.0
0,2025-03-04,1,12.849610000001121
0,2025-03-05,1,77.34960999999748
0,2025-03-06,1,37.201170000000275
0,2025-03-07,1,107.04882999999973
0,2025-03-10,1,69.20117000000027
0,2025-03-11,0,-1.0
0,2025-03-12,1,40.84960999999748
0,2025-03-13,0,-1.0
0,2025-03-17,1,170.45117000000027
0,2025-03-18,1,59.050780000001396
0,2025-03-19,1,131.09961000000112
0,2025-03-20,1,7.548829999999725
0,2025-03-21,1,111.95117000000027
0,2025-03-24,1,25.0
0,2025-03-25,1,6.550780000001396
0,2025-03-26,1,60.449219999998604
0,2025-03-27,1,62.40039000000252
0,2025-03-28,1,109.4492199999986
0,2025-04-01,1,53.451170000000275
0,2025-04-02,1,7.150390000002517
0,2025-04-03,1,321.6992199999986
0,2025-04-04,1,715.6503899999989
0,2025-04-07,1,205.9492199999986
0,2025-04-08,0,-1.0
0,2025-04-09,1,285.1503900000025
0,2025-04-11,1,261.7011700000003
0,2025-04-15,1,62.65039000000252
0,2025-04-16,1,142.0
