,date,accuracy,potential
0,2024-11-11,1,5.690010000000029
0,2024-11-12,1,6.729979999999955
0,2024-11-13,1,7.210029999999961
0,2024-11-14,1,4.989990000000034
0,2024-11-15,1,1.2399999999998954
0,2024-11-18,0,-1.0
0,2024-11-19,1,5.599969999999985
0,2024-11-20,1,1.030029999999897
0,2024-11-21,0,-1.0
0,2024-11-22,1,17.780029999999897
0,2024-11-25,1,0.9699699999998757
0,2024-11-26,1,7.609989999999925
0,2024-11-27,1,0.3099400000000969
0,2024-11-29,1,0.7699000000000069
0,2024-12-02,1,8.459960000000137
0,2024-12-03,1,8.329960000000028
0,2024-12-04,0,-1.0
0,2024-12-05,1,10.380010000000084
0,2024-12-06,1,8.20995999999991
0,2024-12-09,1,7.540030000000115
0,2024-12-10,1,6.25
0,2024-12-11,1,1.719970000000103
0,2024-12-12,1,6.890010000000075
0,2024-12-13,1,9.35997999999995
0,2024-12-16,1,3.320069999999987
0,2024-12-17,1,5.140019999999936
0,2024-12-18,1,4.579960000000028
0,2024-12-19,1,3.4599600000000237
0,2024-12-20,0,-1.0
0,2024-12-23,1,0.37000000000000455
0,2024-12-24,1,6.339969999999994
0,2024-12-26,1,0.8799999999999955
0,2024-12-27,1,16.629999999999995
0,2024-12-30,1,5.75
0,2024-12-31,1,2.5399799999999004
0,2025-01-02,1,5.4200400000000855
0,2025-01-03,1,2.2999899999999798
0,2025-01-06,0,-1.0
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,1.9700300000000652
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,1.2300400000000309
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,10.609980000000064
0,2025-01-23,0,-1.0
0,2025-01-24,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,0,-1.0
0,2025-01-29,1,0.05005000000005566
0,2025-01-30,0,-1.0
0,2025-01-31,1,10.54998999999998
0,2025-02-03,0,-1.0
0,2025-02-04,1,4.190000000000055
0,2025-02-05,0,-1.0
0,2025-02-06,0,-1.0
0,2025-02-07,1,3.7799700000000485
0,2025-02-10,1,2.229979999999955
0,2025-02-11,0,-1.0
0,2025-02-12,1,1.25
0,2025-02-13,0,-1.0
0,2025-02-14,1,1.7899800000000141
0,2025-02-18,1,5.200019999999995
0,2025-02-19,1,2.3400300000000698
0,2025-02-20,1,2.660030000000006
0,2025-02-21,0,-1.0
0,2025-02-24,1,11.050050000000056
0,2025-02-25,1,4.810060000000021
0,2025-02-26,1,3.4000200000000405
0,2025-02-27,0,-1.0
0,2025-02-28,0,-1.0
0,2025-03-03,1,4.1300099999998565
0,2025-03-04,0,-1.0
0,2025-03-05,1,4.200070000000096
0,2025-03-06,1,2.7800300000001243
0,2025-03-07,0,-1.0
0,2025-03-10,0,-1.0
0,2025-03-11,0,-1.0
0,2025-03-12,1,3.7199699999999893
0,2025-03-13,1,1.3699900000000298
0,2025-03-14,0,-1.0
0,2025-03-17,1,1.3099999999999454
0,2025-03-18,1,2.5
0,2025-03-19,1,1.7000100000000202
0,2025-03-20,1,14.48004000000003
0,2025-03-21,1,7.67999999999995
0,2025-03-24,1,9.829959999999915
0,2025-03-25,1,8.099970000000098
0,2025-03-26,0,-1.0
0,2025-03-27,0,-1.0
0,2025-03-28,1,0.5300300000000107
0,2025-03-31,1,2.4899900000000343
0,2025-04-01,1,7.66998000000001
0,2025-04-02,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-04,1,8.66998000000001
0,2025-04-07,0,-1.0
0,2025-04-08,1,9.159979999999905
0,2025-04-09,0,-1.0
0,2025-04-10,1,5.760010000000079
0,2025-04-11,1,16.940000000000055
0,2025-04-14,1,2.860050000000001
0,2025-04-15,1,3.979979999999955
0,2025-04-16,1,16.679989999999975
