,date,accuracy,potential
0,2024-11-08,1,60.15039000000252
0,2024-11-11,0,-1.0
0,2024-11-12,0,-1.0
0,2024-11-13,1,164.84961000000112
0,2024-11-14,1,279.25
0,2024-11-18,1,15.099610000001121
0,2024-11-19,1,80.29882999999973
0,2024-11-21,0,-1.0
0,2024-11-22,1,183.40039000000252
0,2024-11-25,1,229.90038999999888
0,2024-11-26,0,-1.0
0,2024-11-27,1,167.04882999999973
0,2024-11-28,1,319.5996100000011
0,2024-11-29,1,262.7988299999997
0,2024-12-02,1,76.6992199999986
0,2024-12-03,1,127.35156000000279
0,2024-12-04,1,174.90039000000252
0,2024-12-05,1,41.800780000001396
0,2024-12-06,1,158.54882999999973
0,2024-12-09,0,-1.0
0,2024-12-10,1,16.59961000000112
0,2024-12-11,1,8.599609999997483
0,2024-12-12,1,4.599609999997483
0,2024-12-13,1,86.3007800000014
0,2024-12-16,1,108.34961000000112
0,2024-12-17,0,-1.0
0,2024-12-18,1,123.65039000000252
0,2024-12-19,1,13.5
0,2024-12-20,1,118.29882999999973
0,2024-12-23,1,82.25
0,2024-12-24,1,88.5
0,2024-12-26,1,193.04882999999973
0,2024-12-27,1,124.1992199999986
0,2024-12-30,1,35.09960999999748
0,2024-12-31,1,92.65039000000252
0,2025-01-01,1,22.75
0,2025-01-02,1,168.1015600000028
0,2025-01-03,1,196.84961000000112
0,2025-01-06,1,250.94922000000224
0,2025-01-07,1,144.1992199999986
0,2025-01-08,1,64.75
0,2025-01-09,1,348.0488299999997
0,2025-01-10,1,263.1992199999986
0,2025-01-13,1,213.29882999999973
0,2025-01-14,1,378.25
0,2025-01-15,1,110.5
0,2025-01-16,1,123.54882999999973
0,2025-01-17,1,45.40038999999888
0,2025-01-20,1,110.40038999999888
0,2025-01-21,1,56.298829999999725
0,2025-01-22,1,267.4492199999986
0,2025-01-23,1,433.6503899999989
0,2025-01-24,1,560.4003900000025
0,2025-01-27,1,592.9492199999986
0,2025-01-28,1,202.0
0,2025-01-29,1,239.25
0,2025-01-30,1,242.15038999999888
0,2025-01-31,0,-1.0
0,2025-02-01,1,41.64843999999721
0,2025-02-03,1,327.7011700000003
0,2025-02-04,1,203.95117000000027
0,2025-02-05,0,-1.0
0,2025-02-06,1,131.55077999999776
0,2025-02-07,1,425.5507800000014
0,2025-02-10,1,249.8007800000014
0,2025-02-11,1,317.8496099999975
0,2025-02-12,0,-1.0
0,2025-02-13,1,535.25
0,2025-02-14,1,315.1992199999986
0,2025-02-17,1,31.199219999998604
0,2025-02-18,1,627.3007800000014
0,2025-02-19,1,144.5
0,2025-02-20,1,324.75
0,2025-02-21,1,204.90038999999888
0,2025-02-24,1,113.44922000000224
0,2025-02-25,1,62.0
0,2025-02-27,0,-1.0
0,2025-02-28,1,85.20117000000027
0,2025-03-03,1,244.75
0,2025-03-04,1,187.90039000000252
0,2025-03-05,0,-1.0
0,2025-03-06,1,62.40038999999888
0,2025-03-07,1,217.15038999999888
0,2025-03-10,1,57.90039000000252
0,2025-03-11,1,17.800780000001396
0,2025-03-12,1,80.54882999999973
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,146.9492199999986
0,2025-03-19,0,-1.0
0,2025-03-20,0,-1.0
0,2025-03-21,1,49.449219999998604
0,2025-03-24,1,276.6484399999972
0,2025-03-25,1,157.15038999999888
0,2025-03-26,1,218.90039000000252
0,2025-03-27,1,156.8515600000028
0,2025-03-28,1,156.15038999999888
0,2025-04-01,1,144.75
0,2025-04-02,1,1026.1992199999986
0,2025-04-03,1,1315.0
0,2025-04-04,1,768.0
0,2025-04-07,1,200.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,650.3007800000014
0,2025-04-11,0,-1.0
0,2025-04-15,1,23.84961000000112
0,2025-04-16,1,131.0
