,date,accuracy,potential
0,2024-11-11,1,9.75
0,2024-11-12,0,-1.0
0,2024-11-13,0,-1.0
0,2024-11-14,1,3.630010000000084
0,2024-11-15,1,5.440059999999903
0,2024-11-18,1,9.89002000000005
0,2024-11-19,1,6.610110000000077
0,2024-11-20,1,2.650030000000015
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,7.359990000000153
0,2024-11-26,0,-1.0
0,2024-11-27,1,3.6299999999998818
0,2024-11-29,1,8.109989999999925
0,2024-12-02,1,13.270019999999931
0,2024-12-03,1,14.619990000000143
0,2024-12-04,1,1.6099900000001526
0,2024-12-05,1,1.2399900000000343
0,2024-12-06,1,12.75
0,2024-12-09,1,10.630010000000084
0,2024-12-10,1,1.780029999999897
0,2024-12-11,1,3.5700600000000122
0,2024-12-12,1,6.75
0,2024-12-13,0,-1.0
0,2024-12-16,1,5.049929999999904
0,2024-12-17,1,5.949949999999944
0,2024-12-18,1,9.299929999999904
0,2024-12-19,1,7.369999999999891
0,2024-12-20,1,10.629879999999957
0,2024-12-23,1,1.9500699999998687
0,2024-12-24,1,4.96997999999985
0,2024-12-26,1,4.510009999999966
0,2024-12-27,1,17.64991000000009
0,2024-12-30,0,-1.0
0,2024-12-31,1,5.409910000000082
0,2025-01-02,1,5.6900600000001305
0,2025-01-03,1,15.239990000000034
0,2025-01-06,0,-1.0
0,2025-01-07,1,6.510009999999966
0,2025-01-08,1,19.280030000000124
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,3.730099999999993
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,9.04004000000009
0,2025-01-23,1,12.429939999999988
0,2025-01-24,0,-1.0
0,2025-01-27,1,9.550040000000081
0,2025-01-28,1,1.5799600000000282
0,2025-01-29,0,-1.0
0,2025-01-30,1,19.43993999999998
0,2025-01-31,1,5.150030000000015
0,2025-02-03,1,9.290030000000115
0,2025-02-04,1,5.940059999999903
0,2025-02-05,1,4.830069999999978
0,2025-02-06,1,10.839969999999994
0,2025-02-07,1,5.830069999999978
0,2025-02-10,1,3.160039999999981
0,2025-02-11,1,13.519900000000007
0,2025-02-12,1,1.3100600000000213
0,2025-02-13,1,27.47998000000007
0,2025-02-14,1,5.839969999999994
0,2025-02-18,1,6.960080000000062
0,2025-02-19,1,14.04004000000009
0,2025-02-20,1,8.260009999999966
0,2025-02-21,1,2.2899200000001656
0,2025-02-24,0,-1.0
0,2025-02-25,1,12.270019999999931
0,2025-02-26,1,3.4300499999999374
0,2025-02-27,0,-1.0
0,2025-02-28,1,1.0200199999999313
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,3.8900200000000495
0,2025-03-06,1,2.359980000000178
0,2025-03-07,0,-1.0
0,2025-03-10,1,19.52001999999993
0,2025-03-11,1,26.59997999999996
0,2025-03-12,1,4.580079999999953
0,2025-03-13,1,7.039919999999938
0,2025-03-14,0,-1.0
0,2025-03-17,1,3.9499500000001717
0,2025-03-18,1,1.8599799999999505
0,2025-03-19,1,11.010009999999966
0,2025-03-20,1,13.709969999999885
0,2025-03-21,1,0.06995000000006257
0,2025-03-24,1,17.459960000000137
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,1,8.33008000000018
0,2025-03-28,0,-1.0
0,2025-03-31,1,6.6500200000000405
0,2025-04-01,1,11.689939999999979
0,2025-04-02,1,6.800049999999828
0,2025-04-03,1,4.409910000000082
0,2025-04-04,1,35.04993000000013
0,2025-04-07,0,-1.0
0,2025-04-08,1,13.01001000000008
0,2025-04-09,1,4.9000200000000405
0,2025-04-10,1,5.25
0,2025-04-11,1,0.5799500000000535
0,2025-04-14,1,3.25
0,2025-04-15,1,0.2300999999999931
0,2025-04-16,0,-1.0
