,date,accuracy,potential
0,2024-11-08,1,123.14940999999999
0,2024-11-11,0,-1.0
0,2024-11-12,1,238.75
0,2024-11-13,1,23.5
0,2024-11-14,1,62.14940999999999
0,2024-11-18,0,-1.0
0,2024-11-19,1,102.04980999999862
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,57.9003900000007
0,2024-11-27,1,23.25
0,2024-11-28,1,52.8496099999993
0,2024-11-29,1,11.349609999999302
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,36.6503900000007
0,2024-12-05,1,35.25
0,2024-12-06,0,-1.0
0,2024-12-09,1,35.80077999999958
0,2024-12-10,1,22.65038999999888
0,2024-12-11,1,15.898439999997208
0,2024-12-12,1,254.60058000000208
0,2024-12-13,0,-1.0
0,2024-12-16,1,21.701170000000275
0,2024-12-17,1,59.5
0,2024-12-18,1,284.7998000000007
0,2024-12-19,1,97.64940999999999
0,2024-12-20,1,38.04980000000069
0,2024-12-23,1,79.70019999999931
0,2024-12-24,1,80.39940999999999
0,2024-12-26,0,-1.0
0,2024-12-27,1,73.25
0,2024-12-30,1,159.9003900000007
0,2024-12-31,1,50.200190000001385
0,2025-01-01,1,18.700199999999313
0,2025-01-02,1,61.049809999998615
0,2025-01-03,1,208.29980999999862
0,2025-01-06,0,-1.0
0,2025-01-07,1,255.60059
0,2025-01-08,1,34.549809999998615
0,2025-01-09,1,275.4003999999986
0,2025-01-10,1,261.4501999999993
0,2025-01-13,0,-1.0
0,2025-01-14,1,87.25
0,2025-01-15,0,-1.0
0,2025-01-16,1,95.1992199999986
0,2025-01-17,1,79.0
0,2025-01-20,1,252.79980999999862
0,2025-01-21,1,268.5507800000014
0,2025-01-22,1,6.900390000000698
0,2025-01-23,1,169.5
0,2025-01-24,1,401.0
0,2025-01-27,1,222.04980999999862
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,1,25.400399999998626
0,2025-01-31,0,-1.0
0,2025-02-01,1,243.7998000000007
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,67.59960000000137
0,2025-02-06,1,121.6992199999986
0,2025-02-07,1,245.25
0,2025-02-10,1,316.4501900000014
0,2025-02-11,1,412.0498000000007
0,2025-02-12,1,16.25
0,2025-02-13,1,273.2998099999986
0,2025-02-14,1,289.1503900000007
0,2025-02-17,1,158.1503900000007
0,2025-02-18,1,131.5996099999993
0,2025-02-19,1,79.40039999999863
0,2025-02-20,1,196.20019000000138
0,2025-02-21,1,208.04980999999862
0,2025-02-24,1,64.9003900000007
0,2025-02-25,1,58.85059000000001
0,2025-02-27,1,313.5498099999986
0,2025-02-28,1,210.89941
0,2025-03-03,1,256.2001999999993
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,36.5
0,2025-03-07,1,29.349609999999302
0,2025-03-10,1,112.3007800000014
0,2025-03-11,1,170.6503900000007
0,2025-03-12,1,52.949219999998604
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,43.9003900000007
0,2025-03-20,1,9.049800000000687
0,2025-03-21,0,-1.0
0,2025-03-24,1,144.0996099999993
0,2025-03-25,1,12.900399999998626
0,2025-03-26,1,85.85059000000001
0,2025-03-27,0,-1.0
0,2025-03-28,1,29.85059000000001
0,2025-04-01,1,67.3496099999993
0,2025-04-02,1,151.75
0,2025-04-03,1,445.39941
0,2025-04-04,1,761.10059
0,2025-04-07,0,-1.0
0,2025-04-08,1,235.6503900000007
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,17.599600000001374
0,2025-04-16,1,72.64940999999999
